Id	CN	EN	RU
237	你们拉一下我拉不了	You guys pull, I can't pull	You guys pull, I can't pull
238	小队成员(10/<TarotGreyTitle>12</>)	Squad Member (10/<TarotGreyTitle>12</>)	Squad Member (10/<TarotGreyTitle>12</>)
239	2时29分	2 hours 29 minutes	2 hours 29 minutes
240	剧情动画	Plot animation	Plot animation
241	拥抱母亲 获得新生	Embrace the Mother and be reborn.	Embrace the Mother and be reborn.
242	计策描述	Strategy description	Strategy description
243	本站赋税： 20%	Tax for this station: 20%	Tax for this station: 20%
244	<Highlight>力量</>，鸣响敌人的丧钟	<Highlight>Power</>, ringing the Death Knell for the enemy	<Highlight>Power</>, ringing the Death Knell for the enemy
245	你们有奶妈	You guys have a healer	You guys have a healer
246	嘻哈哈\r\n哈哈哈哈哈...\r\n哈哈哈哈哈哈哈...\r\n哈哈哈哈哈哈哈哈...！	Hahaha \r\n Hahahaha... \r\n Hahahahahaha... \r\n Hahahahahahaha...! 	Hahaha \r\n Hahahaha... \r\n Hahahahahaha... \r\n Hahahahahahaha...! 
247	西大道\r\n<LeonSubTitle size=\"38\">West Avenue</>	West Avenue\r\n<LeonSubTitle size=\"38\">West Avenue</>	West Avenue\r\n<LeonSubTitle size=\"38\">West Avenue</>
248	%s年%s月%s日 %s时%s分	%s/%s/%s %s:%s	%s/%s/%s %s:%s
249	死者是从\r\n这扇门逃出的	The deceased escaped\r\nthrough this door	The deceased escaped\r\nthrough this door
250	黑荆棘\r\n安保公司	Blackthorn\r\nSecurity Company	Blackthorn\r\nSecurity Company
251	失踪者也许进入了“镜中国度”\r\n诵念咒语也可进入——\r\n<Red size=\"32\">以时代的洪流                 叩开镜中的国度</>	The missing person may have entered the \"Mirror Realm\".\r\nReciting the incantation can also allow entry—\r\n<Red size=\"32\">With the torrent of the era, knock open the Mirror Realm</>	The missing person may have entered the \"Mirror Realm\".\r\nReciting the incantation can also allow entry—\r\n<Red size=\"32\">With the torrent of the era, knock open the Mirror Realm</>
252	黑荆棘安保公司\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>	Blackthorn Security Company\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>	Blackthorn Security Company\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>
253	玫瑰天堂首领\r\n首席·邦尼	Rose Paradise leader\r\nChief Bonnie	Rose Paradise leader\r\nChief Bonnie
254	应用设置后，将切换位面。\r\n是否确认设置？	After applying settings, the plane will switch. \r\n Confirm settings?	After applying settings, the plane will switch. \r\n Confirm settings?
255	给你一个机会，\r\n你想离开这里吗？	I'll give you a chance,\r\ndo you want to leave this place?	I'll give you a chance,\r\ndo you want to leave this place?
256	好好享受\r\n你的自由吧	Enjoy\r\nyour freedom	Enjoy\r\nyour freedom
257	%s年%s月%s日 %s:%s	%s/%s/%s %s:%s	%s/%s/%s %s:%s
258	议院治安队首领\r\n金狼·查理	Chief of the Council Security Force\r\nGolden Wolf Charlie	Chief of the Council Security Force\r\nGolden Wolf Charlie
259	＃老兵烧烤＃10天伤兵连一生军旅情＃退伍老兵＃退伍通道＃摸把玩具枪老兵回故乡＃来时孤勇者走时放驼铃＃麻辣女兵＃黑皮体育生＃	#VeteranBBQ #10DaysWoundedCompanyALifetimeOfMilitarySentiment #RetiredVeteran #VeteranChannel #TouchingAToyGunVeteranReturnsHome #LoneHeroWhenArrivingCamelBellsWhenLeaving #SpicyFemaleSoldier #DarkSkinnedAthlete#	#VeteranBBQ #10DaysWoundedCompanyALifetimeOfMilitarySentiment #RetiredVeteran #VeteranChannel #TouchingAToyGunVeteranReturnsHome #LoneHeroWhenArrivingCamelBellsWhenLeaving #SpicyFemaleSoldier #DarkSkinnedAthlete#
260	莎莉丝特是\r\n默默无闻的梦想家	Celeste is\r\nan obscure dreamer	Celeste is\r\nan obscure dreamer
261	再\r\n给\r\n你	Give\r\nyou\r\nagain	Give\r\nyou\r\nagain
262	12.2万	122,000	122 000
263	金梧桐大道\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>	Golden Indus Avenue\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>	Golden Indus Avenue\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>
264	%s月%s日	%s/%s	%SS
265	占卜家扮演\r\n（找出正确的门）	Seer Acting\r\n(Find the correct Door)	Seer Acting\r\n(Find the correct Door)
266	宝贝，爸爸妈妈去工厂了。\r\n和露米一起等我们回来，别害怕。	Baby, Mommy and Daddy are going to the factory.\r\nWait for us to come back with Lumi, don't be afraid.	Baby, Mommy and Daddy are going to the factory.\r\nWait for us to come back with Lumi, don't be afraid.
267	啥啊，丝血给我爆死了	What the, I was at low health and got bursted to death.	What the, I was at low health and got bursted to death.
268	……你还想做What?	……What else do you want to do?	……What else do you want to do?
269	我哭死	I'm crying to death.	I'm crying to death.
270	打不到	Can't hit.	Can't hit.
271	技能描述技能描述技能描述技能描述技能描述技能描述技能描述技能描述	Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description	Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description
272	筛选标题	Filter Title	Filter Title
273	系统通用提示文本	General System Prompt Text	General System Prompt Text
274	什么传说	What legend	What legend
275	看来霍克斯男爵的心脏疾病非常严重。	It seems Baron Hawkes' heart condition is very serious.	It seems Baron Hawkes' heart condition is very serious.
276	0000秒	0000 seconds	0000 seconds
277	16场	16 matches	16 matches
278	巨龙之魂-2号赛区	Giant Dragon Soul - Sector 2	Giant Dragon Soul - Sector 2
279	都怪你们串太多了，我发cpdd都没人私信了	It's all your fault for trolling too much; now no one DMs me even when I post 'cpdd'.	It's all your fault for trolling too much; now no one DMs me even when I post 'cpdd'.
280	队伍右对齐文本	Team Right-Aligned Text	Team Right-Aligned Text
281	是这个年轻人在拉琴吗？	Is this young man the one playing the violin?	Is this young man the one playing the violin?
282	暂无扮演者	No actors yet	No actors yet
283	有灵性残留……等调查完线索，再用灵性追溯看看男爵生前的片段吧。	There is spiritual residue... after investigating the clues, I'll use Spiritual Retrospection to see fragments of the Baron's life.	There is spiritual residue... after investigating the clues, I'll use Spiritual Retrospection to see fragments of the Baron's life.
284	物品名称物品名称<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>	Item name item name<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>	Item name item name<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>
285	申请内容申请内容申请内容申请内容申请内容申请内容	Application Content Application Content Application Content Application Content Application Content Application Content	Application Content Application Content Application Content Application Content Application Content Application Content
286	分红奖励于12填23时后自动发送至邮箱	Dividend rewards will be automatically sent to your mailbox after 12 days and 23 hours	Dividend rewards will be automatically sent to your mailbox after 12 days and 23 hours
287	睡觉睡觉。。好累  	Sleep, sleep... so tired.	Sleep, sleep... so tired.
288	种子都没叠就和我打	Fighting me without even stacking seeds.	Fighting me without even stacking seeds.
289	系统名(必填)：	System Name (Required):	System Name (Required):
290	誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言	Oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath	Oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath
291	这里的生意果然不怎么样。	Business here is indeed not very good.	Business here is indeed not very good.
292	切磋决斗	Sparring duel	Sparring duel
293	系统标题	System Title	System Title
294	06:03后开启	Opens in 06:03	Opens in 06:03
295	归属<img id=\"GvGCamp2\"/><Blue>阵营名称</>	Affiliation <img id=\"GvGCamp2\"/><Blue>Camp Name</>	Affiliation <img id=\"GvGCamp2\"/><Blue>Camp Name</>
296	卡拉彭有个信条：耗材不需要名字。\r\n枪声从来不是审判，只是屠宰场开工的哨子。\r\n这是条流水线，下一具尸体已经上了传送带。	Kalapon has a creed: consumables don't need names.\r\nGunshots are never a judgment, just the whistle for the slaughterhouse to start working.\r\nThis is an assembly line, and the next corpse is already on the conveyor belt.	Kalapon has a creed: consumables don't need names.\r\nGunshots are never a judgment, just the whistle for the slaughterhouse to start working.\r\nThis is an assembly line, and the next corpse is already on the conveyor belt.
297	隐藏小队招募信息	Hide Squad Recruitment Information	Hide Squad Recruitment Information
298	<Highlight>汤姆</>已经被抓住了，承认了自己的错误，收拾了烂摊子	<Highlight>Tom</> has been caught, admitted his Error, and cleaned up the mess	<Highlight>Tom</> has been caught, admitted his Error, and cleaned up the mess
299	出乎意料，你的韧性比我预想的要强。保持住！	Unexpectedly, your resilience is stronger than I anticipated. Keep it up!	Unexpectedly, your resilience is stronger than I anticipated. Keep it up!
300	累计可领取奖励上限：6	Cumulative reward limit: 6	Cumulative reward limit: 6
301	一下一两千	One or two thousand per hit	One or two thousand per hit
302	本轮主题	Current Round Theme	Current Round Theme
303	死亡时间是\r\n第二次敲门声响起时	The time of death was\r\nwhen the second knock sounded	The time of death was\r\nwhen the second knock sounded
304	0000万	0,000,000	0 000 000
305	就像这样，\r\n我决定先忘记我的婚姻……	Just like this,\r\nI decided to forget my marriage first...	Just like this,\r\nI decided to forget my marriage first...
306	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：0/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 0/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 0/3
307	奥尔斯纳街\r\n<LeonSubTitle size=\"38\">Osna Street</>	Olsna Street\r\n<LeonSubTitle size=\"38\">Osna Street</>	Olsna Street\r\n<LeonSubTitle size=\"38\">Osna Street</>
308	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：1/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 1/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 1/3
309	弗拉德街\r\n<LeonSubTitle size=\"38\">Vlad Street</>	Vlad Street\r\n<LeonSubTitle size=\"38\">Vlad Street</>	Vlad Street\r\n<LeonSubTitle size=\"38\">Vlad Street</>
310	亲爱的尼尔：\r\n我还想……	Dear Niel:\r\nI still want to...	Dear Niel:\r\nI still want to...
311	剩余时间：x天	Remaining Time: x Days	Remaining Time: x Days
312	在目标位置召唤窥秘之眼，对目标造成持续伤害和减速。	Summon Eyes of Mystery Prying at the target location to deal continuous damage and slow to the target.	Summon Eyes of Mystery Prying at the target location to deal continuous damage and slow to the target.
313	家族已经创建<Num>120</>天了~	The family has been created for <Num>120</> days~	The family has been created for <Num>120</> days~
314	我们有猫娘	We have a catgirl.	We have a catgirl.
315	艾里斯·阿伦 has bid	Iris Allen has bid	Iris Allen has bid
316	这是一个<Yellow>高亮文字</>示例	This is a <Yellow>highlighted text</> example	This is a <Yellow>highlighted text</> example
317	上路防御塔	Top Lane Defense Tower	Top Lane Defense Tower
318	新版本：00000000000	New Version: 00000000000	New Version: 00000000000
319	方奕阳	Fang Yiyang	Fang Yiyang
320	星阶二	Star Rank 2	Star Rank 2
321	繁芜椿	Fan Wu Chun.	Fan Wu Chun.
322	诸神黄昏	Ragnarok	Ragnarok
323	吼吼——吼！	Roar roar—roar!	Roar roar—roar!
324	当前穿戴穿戴穿戴装备	Currently equipped equipment	Currently equipped equipment
325	最多选择：	Maximum selection:	Maximum selection:
326	通关移动推挤等基础能力，将目标	Through basic abilities like moving and pushing, move the target	Through basic abilities like moving and pushing, move the target
327	当前士气等级:	Current Morale Level:	Current Morale Level:
328	找个一起玩的誓约，不要区	Find a Covenant to play together, don't care about the server.	Find a Covenant to play together, don't care about the server.
329	文本内容,文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容	Text content, text content text content text content text content text content text content text content text content text content text content	Text content, text content text content text content text content text content text content text content text content text content text content
330	预计等待：	Estimated wait：	Estimated wait：
331	风格属性整体提升15%	Style attributes increased by 15% overall	Style attributes increased by 15% overall
332	冷静谁……	Calm, who...	Calm, who...
333	强化完美度	Strengthening Perfection	Strengthening Perfection
334	达到62级	Reached level 62	Reached level 62
335	连胜×10	Win streak ×10	Win streak ×10
336	当前拥有：200	Currently owned: 200	Currently owned: 200
337	统一设置长度	Uniformly set length	Uniformly set length
338	你可以选择一颗子弹，这次，我拿走的是真的。	You can choose a bullet, and this time, I'm taking away a real one.	You can choose a bullet, and this time, I'm taking away a real one.
339	十月十日	October 10th	October 10th
340	状态动画	Status Animation	Status Animation
341	2025年8月17日	2025/08/17	2025/08/17
342	<Highlight>率先获得3000积分</>的俱乐部即刻锁定胜局;若对局结束时无人达到3000分,则按当前积分高低排定名次。积分相同时,依次比较<Highlight>总击杀数</>、<Highlight>俱乐部非凡评分总和</>。积分唯一来源为	The Club that <Highlight>reaches 3000 points first</> immediately secures the victory; if no one reaches 3000 points when the match ends, the ranking will be determined by the current points. If points are tied, compare <Highlight>Total Kills</> and <Highlight>Total Club Extraordinary Rating</> in order. The only source of points is	The Club that <Highlight>reaches 3000 points first</> immediately secures the victory; if no one reaches 3000 points when the match ends, the ranking will be determined by the current points. If points are tied, compare <Highlight>Total Kills</> and <Highlight>Total Club Extraordinary Rating</> in order. The only source of points is
343	Projection of 昱霓·爱	Projection of Yu Ni Ai	Projection of Yu Ni Ai
344	又在宣扬他那套赢学……真是受够了。	Preaching his winning philosophy again... I'm really sick of it.	Preaching his winning philosophy again... I'm really sick of it.
345	珍妮·夫利亚	Jeanne Folia	Jeanne Folia
346	庄园总评	Manor Overall Rating	Manor Overall Rating
347	血誓-2	Blood Oath-2	Blood Oath-2
348	净化完成了……空间在排斥我，还没有结束？	Purification is complete... the space is repelling me, is it not over yet?	Purification is complete... the space is repelling me, is it not over yet?
349	246万	2.46 million	2.46 million
350	当前席位：<Green>3</>/4	Current seat: <Green>3</>/4	Current seat: <Green>3</>/4
351	蒸汽与工业蒸汽与工业	Steam and Industry Steam and Industry	Steam and Industry Steam and Industry
352	下级概率	Next level probability	Next level probability
353	占卜家俱乐部\r\n<LeonSubTitle size=\"31\">Divination Club</>	Divination Club\r\n<LeonSubTitle size=\"31\">Divination Club</>	Divination Club\r\n<LeonSubTitle size=\"31\">Divination Club</>
354	把握瞬间\r\n	Seize the moment\r\n	Seize the moment\r\n
355	铁十字街右街\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>	Iron Cross Right Street\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>	Iron Cross Right Street\r\n<LeonSubTitle size=\"38\">Iron Cross Right Street</>
356	fvv缘起敢抢排名不敢打	fvv Yuan Qi dares to grab rankings but doesn't dare to fight.	fvv Yuan Qi dares to grab rankings but doesn't dare to fight.
357	序列之路遵循\r\n妄图跨越者	The Sequence path follows\r\nthose who attempt to transcend	The Sequence path follows\r\nthose who attempt to transcend
358	634米	634 meters	634 meters
359	我去打木桩看看伤害	I'm going to hit the training dummy to check the damage.	I'm going to hit the training dummy to check the damage.
360	我可以磕头借寿吗？寿来！寿来！寿来！	Can I kowtow to borrow life? Life come! Life come! Life come!	Can I kowtow to borrow life? Life come! Life come! Life come!
361	手握大剑进行旋转，瞬间将怪物拖拽至身前并嘲讽。随后产生强	Swing the greatsword in a spin, instantly dragging monsters in front of you and applying a Taunt. Then, it generates a strong	Swing the greatsword in a spin, instantly dragging monsters in front of you and applying a Taunt. Then, it generates a strong
362	已禁言	Muted	Muted
363	玩家玩玩家玩	Player Play Player Play	Player Play Player Play
364	您已超越50%的铁路大亨！	You have surpassed 50% of railway tycoons!	You have surpassed 50% of railway tycoons!
365	肉体·侵蚀	Physical · Erosion	Physical · Erosion
366	南区大道\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>	South District Avenue\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>	South District Avenue\r\n<LeonSubTitle size=\"38\">South Borough Avenue</>
367	活动时间 <Time>剩余7日13时</>	Activity Time <Time>7 days 13 hours remaining</>	Activity Time <Time>7 days 13 hours remaining</>
368	祝你们有个美好的下午。	Have a wonderful afternoon.	Have a wonderful afternoon.
369	艾萨克！你真的太过分了！	Isaac! You've really gone too far!	Isaac! You've really gone too far!
370	<Green>150</>人在线	<Green>150</> people online	<Green>150</> people online
371	灵摆逆时针缓缓转动，命运隐约向梦魂率先开摆透露出潜在的阻力。尚在可控范围之内，但不可掉以轻心。	The pendulum rotates slowly counter-clockwise; fate vaguely reveals potential resistance to Dream Soul First to Lay Down. It is still within a controllable range, but one must not be careless.	The pendulum rotates slowly counter-clockwise; fate vaguely reveals potential resistance to Dream Soul First to Lay Down. It is still within a controllable range, but one must not be careless.
372	科恩教授，你好。	Professor Cohen, hello.	Professor Cohen, hello.
373	贝西克街\r\n<LeonSubTitle size=\"38\">Besik Street</>	Besik Street\r\n<LeonSubTitle size=\"38\">Besik Street</>	Besik Street\r\n<LeonSubTitle size=\"38\">Besik Street</>
374	队伍玩家	Team Player	Team Player
375	女神啊……我向您忏悔……\r\n我应该不是唯一一个\r\n为两个女人心动的人吧？	Oh Goddess... I confess to You...\r\nI shouldn't be the only one\r\nwho has felt heart-fluttering for two women, right?	Oh Goddess... I confess to You...\r\nI shouldn't be the only one\r\nwho has felt heart-fluttering for two women, right?
376	3号	No. 3	№ 3
377	有时候我想试试亲手调制咖啡的感觉，这也是很有趣的体验。	Sometimes I want to try making coffee myself; it's also a very interesting experience.	Sometimes I want to try making coffee myself; it's also a very interesting experience.
378	这都什么东西啊	What is all this stuff?	What is all this stuff?
379	被害人是从\r\n小巷深处逃出的	The victim escaped from\r\nthe depths of the alley.	The victim escaped from\r\nthe depths of the alley.
380	0000.0万	0,000,000	0 000 000
381	好饿……\r\n再不吃点东西，好像要晕过去了。	So hungry...\r\nIf I don't eat something soon, I feel like I'm going to faint.	So hungry...\r\nIf I don't eat something soon, I feel like I'm going to faint.
382	请尽情地\r\n向我展现	Please show me\r\nto your heart's content.	Please show me\r\nto your heart's content.
383	女神啊，请原谅我的\r\n自以为是……	Oh Goddess, please forgive my\r\nself-righteousness...	Oh Goddess, please forgive my\r\nself-righteousness...
384	而我和我孩子的体面衣服，\r\n都已经是半年前买的……	And the decent clothes for me and my child\r\nwere all bought half a year ago...	And the decent clothes for me and my child\r\nwere all bought half a year ago...
385	2025年8月17日 12:00	2025/08/17 12:00	2025/08/17 12:00
386	可恶！这是假宝箱！	Damn it! This is a fake treasure chest!	Damn it! This is a fake treasure chest!
387	无阳光-1	No Sunlight-1	No Sunlight-1
388	本站特产出售	Sell Local Specialties	Sell Local Specialties
389	126666分	126,666 points	126,666 points
390	戴维·约翰-4	David John-4	David John-4
391	第二期	Season 2	Season 2
392	最高连胜：18	Highest Win Streak: 18	Highest Win Streak: 18
393	简易详情	Simple Details	Simple Details
394	翡翠星痕翠星痕	Emerald Star Trace Emerald Star Trace	Emerald Star Trace Emerald Star Trace
395	跟随卜杖的指引找找看。	Follow the guidance of the dowsing rod to look for it.	Follow the guidance of the dowsing rod to look for it.
396	9级	Level 9	Level 9
397	三！	Three!	Three!
398	玩法进行中提前退出	Exiting early while gameplay is in progress	Exiting early while gameplay is in progress
399	还有游戏、网络、电视……	There are also games, the internet, television...	There are also games, the internet, television...
400	魔女教团	Demoness Sect	Demoness Sect
401	总值	Total Value	Total Value
402	无阳光-2	No Sunlight-2	No Sunlight-2
403	巨龙传承	Giant Dragon Inheritance	Giant Dragon Inheritance
404	戴维·约翰-5	David John-5	David John-5
405	<Highlight>3</>/4种	<Highlight>3</>/4 types	<Highlight>3</>/4 types
406	下次活动	Next Activity	Next Activity
407	你还不了解文森吗？	Don't you know Vincent yet?	Don't you know Vincent yet?
408	参加别墅派对可免费借穿别墅主人顶奢时装，尊贵座驾，还能通过参加T台走秀、泳池互动等获得热度值，领取丰富奖励~	Attend a villa party to borrow the villa owner's luxury fashion and prestigious vehicles for free. You can also earn Popularity points by participating in runway shows, pool interactions, and more to claim rich rewards~	Attend a villa party to borrow the villa owner's luxury fashion and prestigious vehicles for free. You can also earn Popularity points by participating in runway shows, pool interactions, and more to claim rich rewards~
409	提交物品类型	Item Type to Submit	Item Type to Submit
410	确定谁去 就好了 关键是边缘被污染了后中间 那个骑士光影是掉血的 不怎么好分辨	Just decide who goes, the key is that after the edge is corrupted, the knight's light and shadow in the middle will lose health, it's not easy to distinguish.	Just decide who goes, the key is that after the edge is corrupted, the knight's light and shadow in the middle will lose health, it's not easy to distinguish.
411	【@千秋载】都成年了还电什么？	【@Qian Qiu Zai】You're an adult, why are you still playing games?	【@Qian Qiu Zai】You're an adult, why are you still playing games?
412	按钮文本	Button Text	Button Text
413	为什么？为什么这个剂量配比总是得不到应该的结果。	Why? Why does this dosage ratio never yield the expected results?	Why? Why does this dosage ratio never yield the expected results?
414	无阳光-3	No Sunlight-3	No Sunlight-3
415	歌颂者扮演\r\n⬇️	Bard Acting\r\n⬇️	Bard Acting\r\n⬇️
416	精灵花和毒堇汁，上周订的货还没到？	Sprite flower and poison hemlock juice, the order from last week hasn't arrived yet?	Sprite flower and poison hemlock juice, the order from last week hasn't arrived yet?
417	2.4倍	2.4x	2.4x
418	再也没有回来\r\n……	Never returned\r\n...	Never returned\r\n...
419	城堡美观度	Castle Aesthetics	Castle Aesthetics
420	懂机制?	Know the mechanics?	Know the mechanics?
421	20天<M_Brown>后过期自动</>删除	Expires and will be automatically deleted in 20 days <M_Brown> after</>	Expires and will be automatically deleted in 20 days <M_Brown> after</>
422	不知道崔佛说的狂信徒藏在哪……	I don't know where Trevor said the fanatics are hiding...	I don't know where Trevor said the fanatics are hiding...
423	他喋喋不休地抱怨梅兰妮，\r\n可真是个糟糕的男人。	He kept complaining about Melanie incessantly,\r\nwhat a terrible man.	He kept complaining about Melanie incessantly,\r\nwhat a terrible man.
424	上限会累计到下一周	The cap will carry over to the next week	The cap will carry over to the next week
425	我们怎么能缺席？	How could we be absent?	How could we be absent?
426	下级需采集:	Collection required for next level:	Collection required for next level:
427	今日剩余抽选次数<HighLight>100</>次	Remaining draws today: <HighLight>100</>	Remaining draws today: <HighLight>100</>
428	果然啊，鞭子不落到自己身上就不知道痛。	As expected, people don't know pain until the whip falls on them.	As expected, people don't know pain until the whip falls on them.
429	莫里亚蒂	Moriarty	Moriarty
430	219天	219 days	219 days
431	等待团员确认，<Time>10秒</>后自动进入	Waiting for team members to confirm, automatically entering in <Time>10 seconds</>	Waiting for team members to confirm, automatically entering in <Time>10 seconds</>
432	1号	No. 1	№ 1
433	下水道系统需要持续建设，\r\n使用【】，\r\n才能真正缓解城市污染。	The sewer system requires Continuous construction,\r\nusing【】,\r\nto truly alleviate the city's corruption.	The sewer system requires Continuous construction,\r\nusing【】,\r\nto truly alleviate the city's corruption.
434	我不知道机械原理	I don't know the mechanical principles.	I don't know the mechanical principles.
435	所属势力	Affiliated Faction	Affiliated Faction
436	完成【任务名字七个字】获取	Complete [Quest Name Seven Characters] to obtain	Complete [Quest Name Seven Characters] to obtain
437	少召一点，多来几趟就行了	Summon fewer, just make more trips.	Summon fewer, just make more trips.
438	我怕包庇	I'm afraid of covering up.	I'm afraid of covering up.
439	这、这是怎么了？	W-what happened?	W-what happened?
440	#话题名称	#Topic Name	#Topic Name
441	<HIGHLIGHT>打开</>背包界面点击<HIGHLIGHT>技能图标，</>	<HIGHLIGHT>Open</> the Inventory interface and click on the <HIGHLIGHT>Skill icon,</>	<HIGHLIGHT>Open</> the Inventory interface and click on the <HIGHLIGHT>Skill icon,</>
442	主教让我把蜡烛分发给大家。	The bishop asked me to distribute the candles to everyone.	The bishop asked me to distribute the candles to everyone.
443	方奕阳 has bid	Fang Yiyang has bid	Fang Yiyang has bid
444	世界观描述文字，世界观描述文字，世界观描述文字，界观描述文字，世界观描述文字	Worldview description text, worldview description text, worldview description text, worldview description text, worldview description text	Worldview description text, worldview description text, worldview description text, worldview description text, worldview description text
445	等级≥25级等级≥25级	Level ≥ 25 Level ≥ 25	Level ≥ 25 Level ≥ 25
446	公示期00小时00分	Publicity Period 00 hours 00 minutes	Publicity Period 00 hours 00 minutes
447	竞价要求：	Bidding Requirement:	Bidding Requirement:
448	远程输出	Ranged output	Ranged output
449	请点击跳转你要查找的物品	Please click to jump to the item you are looking for.	Please click to jump to the item you are looking for.
450	琴姐  砍我	Sister Qin, cut me.	Sister Qin, cut me.
451	水晶苹果七个字	Crystal Apple (7 characters)	Crystal Apple (7 characters)
452	关系名六个字	Six-character Relationship Name	Six-character Relationship Name
453	相片预留名字	Reserved Photo Name	Reserved Photo Name
454	魔女教派棋子除获得基础<Highlight>攻击</><img id=\"03\" width=\"36\" height=\"36\"/>和<Highlight>攻速</><img id=\"05\" width=\"36\" height=\"36\"/>外<Highlight>吸血能力最强</>的非生命教派棋子获得相同增益。教派秘仪加持时,<Highlight>吸血能力最强</>的非生命教派棋子获得相同增益。	In addition to Demoness Sect pieces gaining base <Highlight>Attack</><img id=\"03\" width=\"36\" height=\"36\"/> and <Highlight>Attack Speed</><img id=\"05\" width=\"36\" height=\"36\"/>, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff. When blessed by the Sect Ritual, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff.	In addition to Demoness Sect pieces gaining base <Highlight>Attack</><img id=\"03\" width=\"36\" height=\"36\"/> and <Highlight>Attack Speed</><img id=\"05\" width=\"36\" height=\"36\"/>, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff. When blessed by the Sect Ritual, the non-living Sect piece with the <Highlight>strongest Life Steal</> gains the same buff.
455	时间完毕，没发现什么异常。但是感觉你有点太受欢迎了呀。你朋友好多啊，跟他们绝交吧。我觉得你有我就够了...!	Time's up, nothing unusual found. But you seem a bit too popular. You have so many friends, you should break up with them. I think you have enough with just me...!	Time's up, nothing unusual found. But you seem a bit too popular. You have so many friends, you should break up with them. I think you have enough with just me...!
456	伤害木桩1：事实Buff信息	Damage Dummy 1: Fact Buff Info	Damage Dummy 1: Fact Buff Info
457	像这种窗子，\r\n关得不严实，\r\n趴在窗沿底下，\r\n就很容易听见……	Windows like this, \r\n aren't closed tightly, \r\n lying under the window sill, \r\n can easily hear...	Windows like this, \r\n aren't closed tightly, \r\n lying under the window sill, \r\n can easily hear...
458	2025年10月23日16:17	2025/10/23 16:17	2025/10/23 16:17
459	观众扮演\r\n（心理暗示）	Spectator Acting\r\n(Psychological Suggestion)	Spectator Acting\r\n(Psychological Suggestion)
460	%d时%d分	%d:%d	%d:%d
461	网易	NetEase	NetEase
462	%s第%s%s	%s %s %s	%s %s %s
463	<Big>史</>诗	<Big>E</>pic	<Big>E</>pic
464	金狼一挥手，台下数千人同时起立。\r\n提线早已勒进喉咙。\r\n这些站起来的，已经不是人了。\r\n\"你们想要安全，就把意识交给我，\r\n这是双赢的买卖。\"	Golden Wolf waved his hand, and thousands of people in the audience stood up at once. \r\n The puppet strings were already tightened around their throats. \r\n Those who stood up were no longer human. \r\n \"If you want safety, hand your consciousness over to me, \r\n this is a win-win deal.\"	Golden Wolf waved his hand, and thousands of people in the audience stood up at once. \r\n The puppet strings were already tightened around their throats. \r\n Those who stood up were no longer human. \r\n \"If you want safety, hand your consciousness over to me, \r\n this is a win-win deal.\"
465	多么诚实的\r\n贪婪……\r\n	Such honest\r\ngreed...	Such honest\r\ngreed...
466	2倍	2x	2x
467	我未能尽到\r\n一个母亲的责任……	I have failed to fulfill\r\nmy duties as a mother...	I have failed to fulfill\r\nmy duties as a mother...
468	4号	No. 4	№ 4
469	我的，眼瞳，\r\n到底是什么颜色？	What color,\r\nexactly, are my eyes?	What color,\r\nexactly, are my eyes?
470	亲爱的尼尔：\r\n我不想……	Dear Niel:\r\nI don't want to...	Dear Niel:\r\nI don't want to...
471	对小兵伤害	Damage to minions	Damage to minions
472	职业切换	Career Switch	Career Switch
473	肉法加风筝无解	Meat-tank plus kiting is unsolvable.	Meat-tank plus kiting is unsolvable.
