Id	CN	EN	RU_Old	RU_New
175	红桃K          草花Q\r\n草花Q          黑桃J\r\n 黑桃J          红桃K	King of Hearts          Queen of Clubs\r\nQueen of Clubs          Jack of Spades\r\n Jack of Spades          King of Hearts	King of Hearts          Queen of Clubs\r\nQueen of Clubs          Jack of Spades\r\n Jack of Spades          King of Hearts	Король червей Дама треф\r\nДама треф Валет пик\r\n Валет пик Король червей
176	接下来我们\r\n再大胆一点	Let's be a little bolder\r\nnext.	Let's be a little bolder\r\nnext.	Давайте будем немного смелее\r\nnext.
177	招财猫  —  Lv 62 | Warrior | 2 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 2 m | Inspect	Lucky Cat  —  Lv 62 | Warrior | 2 m | Inspect	Кот удачи — Ур. 62 | Воин | 2 m | Осмотреть
178	文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文文字说明文字说明文字说明文明文明文明文文	Text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text civilization civilization civilization text text	Text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text text explanation text explanation text explanation text civilization civilization civilization text text	Текст объяснения
179	王林仙人-1	Wang Lin Immortal-1	Wang Lin Immortal-1	Ван Линь Бессмертный-b
180	现在就让我来告诉你们——听我的。	Now let me tell you—listen to me.	Now let me tell you—listen to me.	А теперь позвольте мне сказать вам: послушай меня.
181	词条总数量	Total number of entries	Total number of entries	Общее количество записей
182	怎么是你们！	Why is it you guys!	Why is it you guys!	Почему вы, ребята!
183	战士要倒下了	The Warrior is about to fall.	The Warrior is about to fall.	Воин вот-вот упадет.
184	来吧。让我们看看你能拿走多少。	Come on. Let's see how much you can take away.	Come on. Let's see how much you can take away.	Ну давай же. Посмотрим, сколько ты сможешь забрать.
185	轻易地\r\n放过你了	Easily\r\nlet you go	Easily\r\nlet you go	Легко\r\nотпустит тебя
186	王林仙人-3	Wang Lin Immortal-3	Wang Lin Immortal-3	Ван Линь Бессмертный-b
187	枯萎凋零\r\n重现芬芳	Withered and dead\r\nfragrance returns	Withered and dead\r\nfragrance returns	Withered and Dead\r\nаромат возвращается
188	这样可以吗？	Is this okay?	Is this okay?	Это нормально?
189	删除预设	Delete preset	Delete preset	Удалить пресет
190	大脑过载	Brain Overload	Brain Overload	Перегрузка мозга
191	威廉，你可真是卑鄙。 	William, you are truly despicable.	William, you are truly despicable.	Уильям, ты действительно презренный.
192	征服宣言恩赐七字	Declaration of Conquest Gift Seven Words	Declaration of Conquest Gift Seven Words	Декларация завоевания: подарок из семи слов
193	援 	Assist 	Assist	Помощь
194	黄昏战线 War Zone	Dusk War Zone	Dusk War Zone	Сумеречная военная зона
195	<ChatRoom_TopTips_Highlight>玩家名字七个字：</>玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字玩家名字七个字	<ChatRoom_TopTips_Highlight>Player name seven characters:</>Player name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven characters	<ChatRoom_TopTips_Highlight>Player name seven characters:</>Player name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven charactersPlayer name seven characters	<ChatRoom_TopTips_Highlight>Имя игрока семь символов:</>Имя игрока семь символовИмя игрока семь символовИмя игрока семь символовИмя игрока семь символовИмя игрока семь символовИмя игрока семь символовИмя игрока семь символовИмя игрока семь символов
196	上路	Top Lane	Top Lane	Топ Лейн
197	下一级需采集:	Collection required for next level:	Collection required for next level:	Для следующего уровня необходим сбор:
198	不可加入	Cannot join	Cannot join	Не могу присоединиться
199	前往副本【五月庄园·城堡】，击败<HyperLink stylename=\"h\" u=\"1250309\">子爵夫人</>。	Go to the dungeon [May Manor · Castle] and defeat the <HyperLink stylename=\"h\" u=\"1250309\"> Viscountess </>.	Go to the dungeon [May Manor · Castle] and defeat the <HyperLink stylename=\"h\" u=\"1250309\"> Viscountess </>.	Отправляйтесь в подземелье [Майское поместье · Замок] и победите виконтессу <HyperLink stylename=\"h\" u=\"1250309\"> </>.
200	药品上限：	Medicine Limit:	Medicine Limit:	Предел медицины:
201	11月20日	November 20	November 20	20 ноября
202	普攻操控	Basic Attack control	Basic Attack control	Базовый контроль атаки
203	爱情总是伴随伤痛，\r\n你更希望受伤的是？	Love is always accompanied by pain,\r\nwho would you rather see get hurt?	Love is always accompanied by pain,\r\nwho would you rather see get hurt?	Любовь всегда сопровождается болью, \r\n, кого бы вы предпочли, чтобы ему причинили боль?
204	第……	The...	№...	Номер...
205	像这种门，\r\n锁芯从来不换，\r\n撬开一次，\r\n就能打开第二次。	For a door like this, \r\n the lock core is never changed; \r\n once it's picked, \r\n it can be opened a second time.	For a door like this, \r\n the lock core is never changed; \r\n once it's picked, \r\n it can be opened a second time.	Для такой двери \r\n сердцевина замка никогда не меняется; \r\n один раз выбран, \r\n можно открыть второй раз.
206	废黜  \r\n驱逐 \r\n谋杀 	Depose  \r\nExile \r\nMurder 	Depose  \r\nExile \r\nMurder 	Сместить \r\nИзгнание \r\nУбийство
207	虽然和梅兰妮结婚之后，\r\n我真的非常爱她……	Although after marrying Melanie,\r\nI truly loved her very much...	Although after marrying Melanie,\r\nI truly loved her very much...	Хотя после женитьбы на Мелани \r\nI действительно очень ее любил...
208	我这是，\r\n因为知识的力量变成了老鼠？	Have I turned into a mouse\r\nbecause of the power of knowledge?	Have I turned into a mouse\r\nbecause of the power of knowledge?	Превратился ли я в мышь \r\n из-за силы знаний?
209	学徒扮演\r\n（风景过山车）	Apprentice Acting\r\n(Scenery Roller Coaster)	Apprentice Acting\r\n(Scenery Roller Coaster)	Ученик актерского мастерства\r\n (Пейзажные американские горки)
210	2026年1月14日	2026/01/14	14.01.2026	14.01.2026
211	红月亮街\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>	Red Moon Street\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>	Red Moon Street\r\n<LeonSubTitle size=\"38\">Red Moonlight Street</>	Улица Красной Луны\r\n<LeonSubTitle size=\"38\">Улица Красной Луны</>
212	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：2/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 2/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 2/3	Три печати блокируют вход во фрагмент памяти.\r\nПрогресс разблокировки: 2/b
213	罗珊和几位市民 \r\n在中央广场瓦解消散\r\n失踪地点共三个\r\n近期失踪者可能还活着	Rozanne and several citizens \r\ndisappeared at the Central Plaza \r\n, totaling three locations \r\n. The recent missing persons might still be alive.	Rozanne and several citizens \r\ndisappeared at the Central Plaza \r\n, totaling three locations \r\n. The recent missing persons might still be alive.	Розанна и несколько граждан \r\n исчезли на Центральной площади \r\n, всего в трех местах \r\n. Недавние пропавшие без вести люди, возможно, еще живы.
214	他和凯瑟琳\r\n坐在一块喝下午茶。	He and Catherine\r\nsat together having afternoon tea.	He and Catherine\r\nsat together having afternoon tea.	Он и Кэтрин\r\n сидели вместе и пили послеобеденный чай.
215	勤洗手洗脸，\r\n不要乱扔垃圾！	Wash your hands and face often,\r\nand don't litter!	Wash your hands and face often,\r\nand don't litter!	Чаще мойте руки и лицо,\r\n и не мусорите!
216	当前最低汇率	Current lowest exchange rate	Current lowest exchange rate	Текущий самый низкий обменный курс
217	我的任务是，找房东弗兰奇先生，问询卡尔合租人信息。	My task is to find the landlord, Mr. Franchi, and ask for information about Karl's roommates.	My task is to find the landlord, Mr. Franchi, and ask for information about Karl's roommates.	Моя задача — найти домовладельца, мистера Франки, и запросить информацию о соседях Карла по комнате.
218	我真告老师了	I'm really telling the teacher.	I'm really telling the teacher.	Я действительно говорю учителю.
219	文本<Num>文本</>	Text <Num>Text</>	Text <Num>Text</>	Текст <Num>Text</>
220	得打这个什么守卫 	Need to fight this guard thing.	Need to fight this guard thing.	Нужно сразиться с этим охранником.
221	挑战信息	Challenge Information	Challenge Information	Информация о вызове
222	充值<HighLight>任意金额</>可免费领取三日豪礼	Top up <HighLight>any amount</> to claim a three-day luxury gift for free	Top up <HighLight>any amount</> to claim a three-day luxury gift for free	Пополните счет <HighLight> на любую сумму</>, чтобы получить роскошный трехдневный подарок бесплатно.
223	VIP徽章\r\n在她手里	VIP badge\r\nIn her hand	VIP badge\r\nIn her hand	VIP-значок\r\nВ ее руке
224	你为什么这么菜	Why are you so noob	Why are you so noob	Почему ты такой нуб
225	超值	Great Value	Great Value	Отличная цена
226	进度： <HighLight>1</>/4	Progress: <HighLight>1</>/4	Progress: <HighLight>1</>/4	Прогресс: <HighLight>1</>/b
227	9站	9 Stations	9 Stations	9 станций
228	Selected: 艾因哈特	Selected: Einhart	Selected: Einhart	Выбрано: Эйнхарт
229	响应时间结束，<Highlight>未接受视为自动认输</>	Response time has ended. <Highlight>Failure to accept will be treated as an automatic forfeit.</>	Response time has ended. <Highlight>Failure to accept will be treated as an automatic forfeit.</>	Время ответа истекло. <Highlight>Отказ от принятия будет рассматриваться как автоматическая утрата права.</>
230	感谢你帮我完成了这部分乐章，回响之匣中存有我交给你的报酬。我们有缘再见。	Thank you for helping me complete this part of the score. Your reward is waiting in the Echo Box. Until fate brings us together again.	Thank you for helping me complete this part of the score. Your reward is waiting in the Echo Box. Until fate brings us together again.	Спасибо, что помогли мне завершить эту часть партитуры. Ваша награда ждет в Echo Box. Пока судьба снова не сведет нас вместе.
231	<Profit>+1.11万</>	<Profit>+11,100</>	<Profit>+11,100</>	<Profit>+11 100</>
232	学院大道\r\n<LeonSubTitle size=\"38\">Academy Avenue</>	College Avenue\r\n<LeonSubTitle size=\"38\">Academy Avenue</>	College Avenue\r\n<LeonSubTitle size=\"38\">Academy Avenue</>	Колледж-авеню\r\n<LeonSubTitle size=\"38\">Академия-авеню</>
233	莉莉和邦尼\r\n进行过一次会谈	Lily and Bonnie\r\nhad a meeting	Lily and Bonnie\r\nhad a meeting	Лили и Бонни\r\n встретились
234	中央广场\r\n<LeonSubTitle size=\"38\">Central Square</>	Central Plaza\r\n<LeonSubTitle size=\"38\">Central Square</>	Central Plaza\r\n<LeonSubTitle size=\"38\">Central Square</>	Центральная площадь\r\n<LeonSubTitle size=\"38\">Центральная площадь</>
235	被害人曾\r\n遭受致命枪伤	The victim had\r\nsuffered a fatal gunshot wound.	The victim had\r\nsuffered a fatal gunshot wound.	Пострадавший \r\n получил смертельное огнестрельное ранение.
236	<P_Heart>下一季度的流行一定是有鲜艳图案的长裙。</>	<P_Heart>The trend for next season must be long dresses with bright patterns.</>	<P_Heart>The trend for next season must be long dresses with bright patterns.</>	<P_Heart>Трендом следующего сезона должны стать длинные платья с яркими узорами.</>
237	你们拉一下我拉不了	You guys pull, I can't pull	You guys pull, I can't pull	Ребята, вы тянете, я не могу тянуть
238	小队成员(10/<TarotGreyTitle>12</>)	Squad Member (10/<TarotGreyTitle>12</>)	Squad Member (10/<TarotGreyTitle>12</>)	Член отряда (10/<TarotGreyTitle>12</>)
239	2时29分	2 hours 29 minutes	2 hours 29 minutes	2 часа 29 минут
240	剧情动画	Plot animation	Plot animation	Сюжетная анимация
241	拥抱母亲 获得新生	Embrace the Mother and be reborn.	Embrace the Mother and be reborn.	Обнимите Мать и возродитесь.
242	计策描述	Strategy description	Strategy description	Описание стратегии
243	本站赋税： 20%	Tax for this station: 20%	Tax for this station: 20%	Налог на эту станцию: 20%
244	<Highlight>力量</>，鸣响敌人的丧钟	<Highlight>Power</>, ringing the Death Knell for the enemy	<Highlight>Power</>, ringing the Death Knell for the enemy	<Highlight>Power</>, звонит похоронный звон врагу
245	你们有奶妈	You guys have a healer	You guys have a healer	Ребята, у вас есть целитель
246	嘻哈哈\r\n哈哈哈哈哈...\r\n哈哈哈哈哈哈哈...\r\n哈哈哈哈哈哈哈哈...！	Hahaha \r\n Hahahaha... \r\n Hahahahahaha... \r\n Hahahahahahaha...! 	Hahaha \r\n Hahahaha... \r\n Hahahahahaha... \r\n Hahahahahahaha...! 	Ха-ха-ха \r\n Ха-ха-ха-ха... \r\n Ха-ха-ха-ха-ха... \r\n Ха-ха-ха-ха-ха-ха...!
247	西大道\r\n<LeonSubTitle size=\"38\">West Avenue</>	West Avenue\r\n<LeonSubTitle size=\"38\">West Avenue</>	West Avenue\r\n<LeonSubTitle size=\"38\">West Avenue</>	Западный проспект\r\n<LeonSubTitle size=\"38\">Западный проспект</>
248	%s年%s月%s日 %s时%s分	%s/%s/%s %s:%s	%s/%s/%s %s:%s	%s.%s.%s %s:%s
249	死者是从\r\n这扇门逃出的	The deceased escaped\r\nthrough this door	The deceased escaped\r\nthrough this door	Покойный сбежал\r\n через эту дверь
250	黑荆棘\r\n安保公司	Blackthorn\r\nSecurity Company	Blackthorn\r\nSecurity Company	Чёрный Чертополох\r\nОхранная компания
251	失踪者也许进入了“镜中国度”\r\n诵念咒语也可进入——\r\n<Red size=\"32\">以时代的洪流                 叩开镜中的国度</>	The missing person may have entered the \"Mirror Realm\".\r\nReciting the incantation can also allow entry—\r\n<Red size=\"32\">With the torrent of the era, knock open the Mirror Realm</>	The missing person may have entered the \"Mirror Realm\".\r\nReciting the incantation can also allow entry—\r\n<Red size=\"32\">With the torrent of the era, knock open the Mirror Realm</>	Пропавший человек, возможно, вошел в «Зеркальное царство».\r\nПроизнесение заклинания также может позволить войти — \r\n<Red size=\"32\">Потоком эпохи откройте Зеркальное царствоm</>
252	黑荆棘安保公司\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>	Blackthorn Security Company\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>	Blackthorn Security Company\r\n<LeonSubTitle size=\"22\">Blackthorn Security Company</>	Охранная компания Чёрный Чертополох\r\n<LeonSubTitle size=\"22\">Охранная компания Чёрный Чертополох</>
253	玫瑰天堂首领\r\n首席·邦尼	Rose Paradise leader\r\nChief Bonnie	Rose Paradise leader\r\nChief Bonnie	Лидер Rose Paradise\r\nЧиф Бонни
254	应用设置后，将切换位面。\r\n是否确认设置？	After applying settings, the plane will switch. \r\n Confirm settings?	After applying settings, the plane will switch. \r\n Confirm settings?	После применения настроек самолет переключится. \r\n Подтвердить настройки?
255	给你一个机会，\r\n你想离开这里吗？	I'll give you a chance,\r\ndo you want to leave this place?	I'll give you a chance,\r\ndo you want to leave this place?	Я дам тебе шанс, \r\n, ты хочешь покинуть это место?
256	好好享受\r\n你的自由吧	Enjoy\r\nyour freedom	Enjoy\r\nyour freedom	Наслаждайтесь \r\nсвоей свободой
257	%s年%s月%s日 %s:%s	%s/%s/%s %s:%s	%s/%s/%s %s:%s	%s.%s.%s %s:%s
258	议院治安队首领\r\n金狼·查理	Chief of the Council Security Force\r\nGolden Wolf Charlie	Chief of the Council Security Force\r\nGolden Wolf Charlie	Начальник Сил безопасности Совета\r\nGolden Wolf Charlib
259	＃老兵烧烤＃10天伤兵连一生军旅情＃退伍老兵＃退伍通道＃摸把玩具枪老兵回故乡＃来时孤勇者走时放驼铃＃麻辣女兵＃黑皮体育生＃	#VeteranBBQ #10DaysWoundedCompanyALifetimeOfMilitarySentiment #RetiredVeteran #VeteranChannel #TouchingAToyGunVeteranReturnsHome #LoneHeroWhenArrivingCamelBellsWhenLeaving #SpicyFemaleSoldier #DarkSkinnedAthlete#	#VeteranBBQ #10DaysWoundedCompanyALifetimeOfMilitarySentiment #RetiredVeteran #VeteranChannel #TouchingAToyGunVeteranReturnsHome #LoneHeroWhenArrivingCamelBellsWhenLeaving #SpicyFemaleSoldier #DarkSkinnedAthlete#	#ШашлыкВетеранов #10ДнейРотыРаненых #ВетеранВЗапасе #ВозвращениеДомой #ОдинокийГерой
260	莎莉丝特是\r\n默默无闻的梦想家	Celeste is\r\nan obscure dreamer	Celeste is\r\nan obscure dreamer	Селеста — \r\n, безвестная мечтательница.
261	再\r\n给\r\n你	Give\r\nyou\r\nagain	Give\r\nyou\r\nagain	Дайте\r\nyou\r\nснова
262	12.2万	122,000	122 000	122 000
263	金梧桐大道\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>	Golden Indus Avenue\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>	Golden Indus Avenue\r\n<LeonSubTitle size=\"38\">Golden Indus Avenue</>	Авеню Золотого Инда\r\n<LeonSubTitle size=\"38\">Авеню Золотого Инда</>
264	%s月%s日	%s/%s	%SS	%s/%s
265	占卜家扮演\r\n（找出正确的门）	Seer Acting\r\n(Find the correct Door)	Seer Acting\r\n(Find the correct Door)	Seer Acting\r\n (Найдите правильную дверь)
266	宝贝，爸爸妈妈去工厂了。\r\n和露米一起等我们回来，别害怕。	Baby, Mommy and Daddy are going to the factory.\r\nWait for us to come back with Lumi, don't be afraid.	Baby, Mommy and Daddy are going to the factory.\r\nWait for us to come back with Lumi, don't be afraid.	Малыш, мама и папа собираются на фабрику.\r\nПодожди, пока мы вернемся с Люми, не бойся.
267	啥啊，丝血给我爆死了	What the, I was at low health and got bursted to death.	What the, I was at low health and got bursted to death.	Что за состояние, у меня было слабое здоровье, и меня разбило насмерть.
268	……你还想做What?	……What else do you want to do?	……What else do you want to do?	……Что еще ты хочешь сделать?
269	我哭死	I'm crying to death.	I'm crying to death.	Я плачу до смерти.
270	打不到	Can't hit.	Can't hit.	Не могу ударить.
271	技能描述技能描述技能描述技能描述技能描述技能描述技能描述技能描述	Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description	Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description Skill Description	Описание навыка Описание навыка Описание навыка Описание навыка Описание навыка Описание навыка Описание навыка Описание навыка
272	筛选标题	Filter Title	Filter Title	Название фильтра
273	系统通用提示文本	General System Prompt Text	General System Prompt Text	Общий текст системной подсказки
274	什么传说	What legend	What legend	Какая легенда
275	看来霍克斯男爵的心脏疾病非常严重。	It seems Baron Hawkes' heart condition is very serious.	It seems Baron Hawkes' heart condition is very serious.	Кажется, состояние сердца барона Хоукса очень серьезное.
276	0000秒	0000 seconds	0000 seconds	0000 секунд
277	16场	16 matches	16 matches	16 матчей
278	巨龙之魂-2号赛区	Giant Dragon Soul - Sector 2	Giant Dragon Soul - Sector 2	Душа гигантского дракона — сектор b
279	都怪你们串太多了，我发cpdd都没人私信了	It's all your fault for trolling too much; now no one DMs me even when I post 'cpdd'.	It's all your fault for trolling too much; now no one DMs me even when I post 'cpdd'.	Это все твоя вина, что ты слишком много троллишь; теперь никто не пишет мне в личные сообщения, даже когда я публикую «cpdd».
280	队伍右对齐文本	Team Right-Aligned Text	Team Right-Aligned Text	Текст команды, выровненный по правому краю
281	是这个年轻人在拉琴吗？	Is this young man the one playing the violin?	Is this young man the one playing the violin?	Этот молодой человек играет на скрипке?
282	暂无扮演者	No actors yet	No actors yet	Актеров пока нет
283	有灵性残留……等调查完线索，再用灵性追溯看看男爵生前的片段吧。	There is spiritual residue... after investigating the clues, I'll use Spiritual Retrospection to see fragments of the Baron's life.	There is spiritual residue... after investigating the clues, I'll use Spiritual Retrospection to see fragments of the Baron's life.	Есть духовный остаток... после исследования улик я воспользуюсь Духовной ретроспективой, чтобы увидеть фрагменты жизни Барона.
284	物品名称物品名称<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>	Item name item name<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>	Item name item name<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>	Имя элемента Имя элемента<img id=\"TaskCoin\" width=\"48\" height=\"48\"/>
285	申请内容申请内容申请内容申请内容申请内容申请内容	Application Content Application Content Application Content Application Content Application Content Application Content	Application Content Application Content Application Content Application Content Application Content Application Content	Содержимое приложения Содержимое приложения Содержимое приложения Содержимое приложения Содержимое приложения Содержимое приложения Содержимое приложения
286	分红奖励于12填23时后自动发送至邮箱	Dividend rewards will be automatically sent to your mailbox after 12 days and 23 hours	Dividend rewards will be automatically sent to your mailbox after 12 days and 23 hours	Дивидендные вознаграждения будут автоматически отправлены на ваш почтовый ящик через 12 дней и 23 часа.
287	睡觉睡觉。。好累  	Sleep, sleep... so tired.	Sleep, sleep... so tired.	Спи, спи... так устал.
288	种子都没叠就和我打	Fighting me without even stacking seeds.	Fighting me without even stacking seeds.	Борьба со мной, даже не складывая семян.
289	系统名(必填)：	System Name (Required):	System Name (Required):	Имя системы (обязательно):
290	誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言誓言内容誓言内容誓言	Oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath	Oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath oath content oath content oath	Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы Содержание клятвы
291	这里的生意果然不怎么样。	Business here is indeed not very good.	Business here is indeed not very good.	Дела здесь действительно идут не очень хорошо.
292	切磋决斗	Sparring duel	Sparring duel	Спарринг-дуэль
293	系统标题	System Title	System Title	Название системы
294	06:03后开启	Opens in 06:03	Opens in 06:03	Откроется через 06:03
295	归属<img id=\"GvGCamp2\"/><Blue>阵营名称</>	Affiliation <img id=\"GvGCamp2\"/><Blue>Camp Name</>	Affiliation <img id=\"GvGCamp2\"/><Blue>Camp Name</>	Принадлежность <img id=\"GvGCamp2\"/><Blue>Название лагеря</>
296	卡拉彭有个信条：耗材不需要名字。\r\n枪声从来不是审判，只是屠宰场开工的哨子。\r\n这是条流水线，下一具尸体已经上了传送带。	Kalapon has a creed: consumables don't need names.\r\nGunshots are never a judgment, just the whistle for the slaughterhouse to start working.\r\nThis is an assembly line, and the next corpse is already on the conveyor belt.	Kalapon has a creed: consumables don't need names.\r\nGunshots are never a judgment, just the whistle for the slaughterhouse to start working.\r\nThis is an assembly line, and the next corpse is already on the conveyor belt.	У Калапона есть кредо: расходным материалам не нужны названия.\r\nВыстрелы никогда не являются приговором, а просто свистком о начале работы скотобойни.\r\nЭто сборочная линия, и следующий труп уже на конвейере.
297	隐藏小队招募信息	Hide Squad Recruitment Information	Hide Squad Recruitment Information	Скрыть информацию о наборе в отряд
298	<Highlight>汤姆</>已经被抓住了，承认了自己的错误，收拾了烂摊子	<Highlight>Tom</> has been caught, admitted his Error, and cleaned up the mess	<Highlight>Tom</> has been caught, admitted his Error, and cleaned up the mess	<Highlight>Tom</> был пойман, признал свою ошибку и навел порядок.
299	出乎意料，你的韧性比我预想的要强。保持住！	Unexpectedly, your resilience is stronger than I anticipated. Keep it up!	Unexpectedly, your resilience is stronger than I anticipated. Keep it up!	Неожиданно ваша устойчивость оказалась сильнее, чем я ожидал. Так держать!
300	累计可领取奖励上限：6	Cumulative reward limit: 6	Cumulative reward limit: 6	Совокупный лимит вознаграждений: b
301	一下一两千	One or two thousand per hit	One or two thousand per hit	Одна-две тысячи за удар
302	本轮主题	Current Round Theme	Current Round Theme	Текущая тема раунда
303	死亡时间是\r\n第二次敲门声响起时	The time of death was\r\nwhen the second knock sounded	The time of death was\r\nwhen the second knock sounded	Время смерти было \r\n, когда прозвучал второй стук.
304	0000万	0,000,000	0 000 000	0 000 000
305	就像这样，\r\n我决定先忘记我的婚姻……	Just like this,\r\nI decided to forget my marriage first...	Just like this,\r\nI decided to forget my marriage first...	Вот так \r\nя решил сначала забыть о своем браке...
306	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：0/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 0/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 0/3	Три печати блокируют вход во фрагмент памяти.\r\nПрогресс разблокировки: 0/b
307	奥尔斯纳街\r\n<LeonSubTitle size=\"38\">Osna Street</>	Olsna Street\r\n<LeonSubTitle size=\"38\">Osna Street</>	Olsna Street\r\n<LeonSubTitle size=\"38\">Osna Street</>	Улица Ольсна\r\n<LeonSubTitle size=\"38\">Улица Осна</>
308	三道封印阻挡了通往记忆碎片的入口。\r\n解锁进度：1/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 1/3	Three seals block the entrance to the memory fragment.\r\nUnlock progress: 1/3	Три печати блокируют вход во фрагмент памяти.\r\nПрогресс разблокировки: 1/b
309	弗拉德街\r\n<LeonSubTitle size=\"38\">Vlad Street</>	Vlad Street\r\n<LeonSubTitle size=\"38\">Vlad Street</>	Vlad Street\r\n<LeonSubTitle size=\"38\">Vlad Street</>	Влад Стрит\r\n<LeonSubTitle size=\"38\">Влад Стрит</>
310	亲爱的尼尔：\r\n我还想……	Dear Niel:\r\nI still want to...	Dear Niel:\r\nI still want to...	Дорогой Ниэль: \r\n, я все еще хочу...
311	剩余时间：x天	Remaining Time: x Days	Remaining Time: x Days	Оставшееся время: x дней
312	在目标位置召唤窥秘之眼，对目标造成持续伤害和减速。	Summon Eyes of Mystery Prying at the target location to deal continuous damage and slow to the target.	Summon Eyes of Mystery Prying at the target location to deal continuous damage and slow to the target.	Призвать Тайные глаза, любопытствующие в выбранном месте, чтобы наносить непрерывный урон и замедлять цель.
313	家族已经创建<Num>120</>天了~	The family has been created for <Num>120</> days~	The family has been created for <Num>120</> days~	Семья создавалась на <Num>120</> дней~
314	我们有猫娘	We have a catgirl.	We have a catgirl.	У нас есть девочка-кошка.
315	艾里斯·阿伦 has bid	Iris Allen has bid	Iris Allen has bid	Айрис Аллен сделала ставку
316	这是一个<Yellow>高亮文字</>示例	This is a <Yellow>highlighted text</> example	This is a <Yellow>highlighted text</> example	Это пример выделенного текста <Yellow></>.
317	上路防御塔	Top Lane Defense Tower	Top Lane Defense Tower	Защитная башня верхней полосы
318	新版本：00000000000	New Version: 00000000000	New Version: 00000000000	Новая версия: 00000000000
319	方奕阳	Fang Yiyang	Fang Yiyang	Фан Иян
320	星阶二	Star Rank 2	Star Rank 2	Звездный ранг b
321	繁芜椿	Fan Wu Chun.	Fan Wu Chun.	Фань У Чун.
322	诸神黄昏	Ragnarok	Ragnarok	Рагнарёк
323	吼吼——吼！	Roar roar—roar!	Roar roar—roar!	Рев-рев!
324	当前穿戴穿戴穿戴装备	Currently equipped equipment	Currently equipped equipment	Оснащенное на данный момент оборудование
325	最多选择：	Maximum selection:	Maximum selection:	Максимальный выбор:
326	通关移动推挤等基础能力，将目标	Through basic abilities like moving and pushing, move the target	Through basic abilities like moving and pushing, move the target	С помощью базовых способностей, таких как перемещение и толкание, перемещайте цель.
327	当前士气等级:	Current Morale Level:	Current Morale Level:	Текущий уровень морального духа:
328	找个一起玩的誓约，不要区	Find a Covenant to play together, don't care about the server.	Find a Covenant to play together, don't care about the server.	Найдите ковенант, чтобы играть вместе, плевать на сервер.
329	文本内容,文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容文本内容	Text content, text content text content text content text content text content text content text content text content text content text content	Text content, text content text content text content text content text content text content text content text content text content text content	Текстовое содержимое, текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое текстовое содержимое
330	预计等待：	Estimated wait：	Estimated wait：	Расчетное ожидание:
331	风格属性整体提升15%	Style attributes increased by 15% overall	Style attributes increased by 15% overall	Атрибуты стиля в целом увеличены на 15%.
332	冷静谁……	Calm, who...	Calm, who...	Спокойно, кто...
333	强化完美度	Strengthening Perfection	Strengthening Perfection	Укрепление совершенства
334	达到62级	Reached level 62	Reached level 62	Достигнут 62 уровень.
335	连胜×10	Win streak ×10	Win streak ×10	Победная серия ×bb
336	当前拥有：200	Currently owned: 200	Currently owned: 200	В наличии: 200
