CN	EN
<Assistant_Title1>【五月庄园·城堡】</>\n<Assistant_Title2>玩法类型：</><Assistant_Property1>团队副本</>\n<Assistant_Title2>参与条件：</>\n    <Assistant_Property1>普通难度：</>69级，2026年9月4日开启\n    <Assistant_Property1>困难难度：</>70级，2026年10月30日开启\n<Assistant_Title2>参与方式：</>点击<Assistant_System>菜单-世界冒险-副本-</>{JumpToUI:[五月庄园·城堡]|1250309}参与。\n<Assistant_Title2>参与人数：</>10~12人组队，或选择人机模式前往。\n<Assistant_Title2>玩法奖励：</>世界冒险宝箱、烙印装备、外观、非凡物质、秘偶碎片、魔药材料等\n    <Assistant_Property1>普通难度：</>64装等装备\n    <Assistant_Property1>困难难度：</>68装等装备\n<Assistant_Red>每名首领每周仅能获取一次奖励，不同团队副本之间奖励次数共享。</>\n<Assistant_Title2>首领攻略：</>\n    <Assistant_Property1>普通难度：</>{JumpToUI:[子嗣守护]|1302118}{JumpToUI:[一号信徒]|1302119}{JumpToUI:[子爵夫人]|1302120}\n    <Assistant_Property1>困难难度：</>{JumpToUI:[子嗣守护]|1302121}{JumpToUI:[一号信徒]|1302122}{JumpToUI:[子爵夫人]|1302123}	<Assistant_Title1>【May Manor · Castle】</>\n<Assistant_Title2>Gameplay Type: </><Assistant_Property1>Team Dungeon</>\n<Assistant_Title2>Participation Requirements: </>\n    <Assistant_Property1>Normal Difficulty: </>Level 69, opens September 4, 2026\n    <Assistant_Property1>Hard Difficulty: </>Level 70, opens October 30, 2026\n<Assistant_Title2>How to Participate: </>Click <Assistant_System>Menu - World Adventure - Dungeon - </>{JumpToUI:[May Manor · Castle]|1250309} to participate.\n<Assistant_Title2>Number of Participants: </>Form a team of 10~12, or choose to proceed in AI mode.\n<Assistant_Title2>Gameplay Rewards: </>World Adventure Chest, Brand Equipment, Cosmetics, Beyonder material, Marionette Fragments, Potion Materials, etc.\n    <Assistant_Property1>Normal Difficulty: </>Level 64 Equipment\n    <Assistant_Property1>Hard Difficulty: </>Level 68 Equipment\n<Assistant_Red>Each boss provides rewards only once per week; reward attempts are shared across different team dungeons.</>\n<Assistant_Title2>Boss Strategy: </>\n    <Assistant_Property1>Normal Difficulty: </>{JumpToUI:[Offspring Protection]|1302118}{JumpToUI:[Believer Number One]|1302119}{JumpToUI:[Viscountess]|1302120}\n    <Assistant_Property1>Hard Difficulty: </>{JumpToUI:[Offspring Protection]|1302121}{JumpToUI:[Believer Number One]|1302122}{JumpToUI:[Viscountess]|1302123}
凯蕾 has bid	Ka Lei has bid
我当前排名<ScheduleNum>3</> 当前积分<ScheduleNum>9999999</>	My current rank is <ScheduleNum>3</>, current points <ScheduleNum>9999999</>
染剂 特殊	Dye Special
负重：1	Weight: 1
参与一次天圣兽试炼，攻击力:+	Participate in one Heavenly Saint Beast Trial, Attack:+ 
输入礼金留言	Enter gift message
同骑	Ride Together
异象之物-1	Object of Phenomenon-1
自定义列表七字	Custom List Seven Characters
<Underline>小怪</>击杀概率掉落	<Underline>Small monster</> kill probability drop
别打架了呀	Stop fighting.
请选择前往游历的秘偶	Please select the marionette to send on a journey.
遗产继承人	Legacy Heir
<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。<P_Heart>烛焰</>在无光之地倒悬，<P_Yellow>塔罗牌</>以逆位<P_Red>铺垫</>。	<P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse. <P_Heart>Candle flames</> hang upside down in the land of no light, <P_Yellow>Tarot cards</> <P_Red>foreshadow</> in reverse.
咋下不来了	Why can't I get down?
当前任务：<HighLight>(6/10)</><img id="TaskCoin" width="48" height="48"/>	Current Quest: <HighLight>(6/10)</><img id="TaskCoin" width="48" height="48"/>
这……还是人类吗？	Is this... still human?
玩法内容更新	Gameplay Content Update
这……这是？	This... what is this?
      小克提前预演了可能发生的剧情，在现实世界中只按照预设的流程行动。\r\n他通过伦纳德，向老爷爷借来时之虫，制作了窃运者符咒。他还安排自己唯一的眷者圣大妮子\r\n\r\n小克提前预演了可能发生的剧情，在现实世界中只按照预设的流程行动。向老爷爷借来时在现实世界中只按照预设的流程行动。提前预演了可能发生的剧情吗哈哈哈\r\n\r\n小克提前预演了可能发生的剧情，在现实世界中只按照预设的流程行动。	      Xiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow.\r\nHe borrowed the Worm of Time from the old man through Leonard and crafted a Luck Siphon charm. He also arranged for his only Blessed, Saint Danni,\r\n\r\nXiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow. Borrowed the Worm of Time from the old man and acted in the real world only according to the preset flow. Did he rehearse the potential plot in advance? Hahaha\r\n\r\nXiao Ke rehearsed the potential plot in advance, acting in the real world only according to the preset flow.
5份奖品	5 Prizes
推箱子的活动	Sokoban Activity
无法完成目标要求者，将下周临时降低武力属性直至完成目标要求。	Those who fail to meet the target requirements will have their combat attributes temporarily reduced next week until the requirements are met.
曼姝沙华	Man Shu Sha Hua
邓恩的邀请邓恩的邀请邓恩的邀请邓恩的邀请邓恩的邀请	Dunn's Invitation Dunn's Invitation Dunn's Invitation Dunn's Invitation Dunn's Invitation
       真是件神奇的事情，一个异想天开的实验和一个偶然出现的失误，让我发现了一位困于风暴之中、迷失于黑暗深处的可怜家伙，他甚至只能在每个月满月的时候才能稍微靠近现实世界，可依然无法将他的呼喊传递进来。\r\n\r\n       他是幸运的，他遇见了我——这个时代的主角。\r\n\r\n       写完上面这段话，自己读了一遍，忽然有点唏嘘，哪怕是用汉字，也不知不觉带上了浓烈的翻译腔，四十年弹指一挥间啊，以往的记忆真的就像梦一样了。	       It is truly a miraculous thing. A whimsical experiment and an accidental error led me to discover a poor fellow trapped in a storm, lost in the depths of darkness. He can only approach the real world slightly during the full moon each month, yet he still cannot get his cries to carry through.\r\n\r\n       He is fortunate; he met me—the protagonist of this era.\r\n\r\n       After writing the passage above and reading it to myself, I suddenly felt a bit wistful. Even when using Chinese, I unconsciously adopted a heavy translation tone. Forty years have passed in the blink of an eye; past memories really feel just like a dream.
-任务名称七个字	-Quest Name Seven Characters
开启获得1个<Highlight>绑定</>的灰雾尘埃。每周可开启<Highlight>3</>次，未开启的次数将累计至下一周，至多累计至<Highlight>15</>次。\n\n<Highlight>灰雾尘埃</>：铸造神话品质胸针<Highlight>（冒险倾向）</>的关键材料。\n\n铸造需消耗<Highlight>15</>个灰雾尘埃，得到64装等<Highlight>冒险倾向</>神话品质胸针。\n随赛季进程，将开放冒险倾向神话胸针的装等提升，提升时消耗一定数量的<Highlight>灰雾尘埃</>。\n\n每周可通过队伍副本、团队副本、世界冒险秘宝<Highlight>直接获取</>至多<Highlight>3</>个灰雾尘埃。未获取个数可累计至下周，至多累计至<Highlight>15</>个。	Open to obtain 1 <Highlight>bound</> gray fog dust. You can open it <Highlight>3</> times per week; unused attempts will accumulate to the following week, up to a maximum of <Highlight>15</> times. \n\n<Highlight>Gray fog dust</>: A key material for forging Mythical quality brooches <Highlight>(Adventure-oriented)</>. \n\nForging requires <Highlight>15</> gray fog dust to obtain a Gear Level 64 <Highlight>Adventure-oriented</> Mythical quality brooch. \nAs the season progresses, Gear Level Increase for Adventure-oriented Mythical brooches will be unlocked, which will consume a certain amount of <Highlight>gray fog dust</>. \n\nYou can directly obtain up to <Highlight>3</> gray fog dust per week through party dungeons, raid dungeons, and world adventure treasures <Highlight>directly obtained</>. Unobtained amounts can accumulate to the following week, up to a maximum of <Highlight>15</>.
当前数量：9988	Current quantity: 9988
泰勒·斯威夫特	Taylor Swift
造成伤害吼10%概率提高自身20点力量，维持2秒，最多叠加3层，无冷却时间时间	10% chance to increase your own Strength by 20 points after dealing damage, Continuous for 2 seconds, stacks up to 3 times, no Cooldown
铁十字街(一)	Iron Cross Street (I)
先离开这里，抓紧我。	Leave here first, hold on to me.
新增2个	Added 2
今日奖励次数	Remaining reward attempts today
冲锋要站一起 我看站的很分散	Need to stand together for the Charge, I see you guys are very scattered
宣战场次：	War declaration sessions:
本场时间：本周五8点	Match time: This Friday at 8 o'clock
依旧土豆服务器	Still potato servers
刚才配合得太绝了。	The coordination just now was perfect.
在退出房间或离线后仍可以在退<Popup_Yellow_2>保留房间</>	You can still <Popup_Yellow_2>keep the room</> after exiting or going offline
引导文本<Orange>引导文本</>引导文本引导引导文本引导文本	Guide Text <Orange>Guide Text</> Guide Text Guide Guide Text Guide Text
商业票卷：	Commercial Ticket: 
艾因哈特-2	Einhart-2
预计收益	Estimated Earnings
2024年10月10日19：00开启	Starts on October 10, 2024, at 19:00
<Assistant_Title1>【四方联赛】</>\n<Assistant_Title2>玩法说明：</><Assistant_System>四方联赛</>是俱乐部之间的大型战场玩法。每场由<Assistant_Red>4家俱乐部</>同场竞技，每家俱乐部最多出战<Assistant_Red>60名正式成员</>，单局共<Assistant_Red>240名玩家</>参战；同一俱乐部单个途径最多上场<Assistant_Red>16人</>。每场比赛持续<Assistant_Red>23分钟</>。\n<Assistant_Title2>赛制规则：</>每轮比赛由两场对阵组成。每轮第一场开始前，本组第1、2名，第3、4名，第5、6名以及第7、8名分别进入不同的比赛小组，并在满足该规则的前提下随机分配。第一场各组前2名进入胜者组，后2名进入败者组；第二场分别进行胜者组与败者组对决，确定本轮第1至第8名。\n<Assistant_Title2>胜负规则：</>率先获得<Assistant_Red>3000积分</>的俱乐部立即锁定胜局；若对局结束时无人达到3000分，则按当前积分排名。积分相同时，依次比较<Assistant_Property1>总击杀数</>、<Assistant_Property1>俱乐部非凡评分总和</>。\n<Assistant_Title2>局内积分：</>局内积分唯一来源为守卫归属结算。首次占领守卫获得<Assistant_Red>50积分</>；每<Assistant_Red>5秒</>小结算时，每个已占领守卫提供<Assistant_Red>1积分</>；每<Assistant_Red>30秒</>大结算时，每个已占领守卫提供<Assistant_Red>18积分</>。对局第<Assistant_Red>4、8、12、16、20分钟</>会随机刷新守卫归属高倍积分结算，高倍结算时每个已占领守卫提供<Assistant_Red>72或108积分</>。\n<Assistant_Title2>战略服筛选积分：</>在<Assistant_Property1>战略服筛选阶段</>的联赛前两轮，将启用战略服筛选积分规则。只有<Assistant_Property1>神话组</>的俱乐部可获得战略服筛选积分。单场第1至第4名依次获得<Assistant_Red>30、15、10、5分</>；第一轮最终第1至第4名依次获得<Assistant_Red>60、50、45、40分</>，第5至第8名各获得<Assistant_Red>10分</>；第二轮最终第1至第4名依次获得<Assistant_Red>200、100、70、50分</>，第5至第8名各获得<Assistant_Red>15分</>。战略服筛选阶段的联赛前两轮结束后，本赛区战略服筛选总积分前4名的俱乐部将晋级<Assistant_Property1>四方联赛天启组</>，并获得<Assistant_Property1>参与战略服</>的资格。\n<Assistant_Title2>同分排序：</>战略服筛选排名优先按<Assistant_Property1>战略服筛选总积分</>由高到低排列。总积分相同时：第一轮或第二轮联赛结束后，按照俱乐部在本轮的<Assistant_Property1>最终排名</>排序，排名靠前者优先；四方联赛每轮第一场比赛结束后，本轮尚未产生最终排名，同分俱乐部暂不区分排名先后，当前展示顺序不代表本轮最终排名。\n<Assistant_Title2>守卫争夺：</>战场中共有<Assistant_Red>5位守卫</>。完成对守卫最后一击的俱乐部会获得该守卫的控制权；守卫归属后会立即重生并归属本方。守卫无法被治疗，但周围没有敌人时会缓慢自动回血。\n<Assistant_Title2>资源与指挥：</>击败敌方玩家或占领守卫可获得资源点，并自动积累士气等级。会长、副会长、理事可消耗资源点释放指挥技能。\n<Assistant_Title2>指挥技能：</><Assistant_Property1>克敌宣言</>消耗1000资源点，使全体成员全途径压制提高15%，持续20秒，冷却180秒；<Assistant_Property1>急行进军</>消耗600资源点，使全体成员移动速度提高60%，持续10秒，冷却120秒；<Assistant_Property1>归零敕令</>消耗1500资源点，清除全体成员当前复活等待并覆盖随后5秒内阵亡成员，冷却240秒；<Assistant_Property1>召集传送</>消耗2400资源点，将全体成员召集至指定集结点，冷却240秒；<Assistant_Property1>圣域庇佑</>消耗1000资源点，使本方全部守卫恢复50%最大生命值，冷却180秒。\n<Assistant_Title2>参与方式：</>{JumpToUI:[前往四方联赛]|1250063}	<Assistant_Title1>【Four-Way League】</>\n<Assistant_Title2>Mode Description: </><Assistant_System>Four-Way League</> is a large-scale battlefield mode between Clubs. Each match features <Assistant_Red>4 Clubs</> competing on the same field, with each Club fielding up to <Assistant_Red>60 official members</>, totaling <Assistant_Red>240 players</> per match; a single Club can have at most <Assistant_Red>16 people</> of the same Pathway on the field. Each match lasts <Assistant_Red>23 minutes</>. \n<Assistant_Title2>Tournament Rules: </>Each round consists of two matches. Before the first match of each round, the 1st and 2nd, 3rd and 4th, 5th and 6th, and 7th and 8th place teams in the group enter different match groups and are randomly assigned under the premise of meeting this rule. The top 2 of each group in the first match enter the Winner's Bracket, and the bottom 2 enter the Loser's Bracket; the second match features Winner's Bracket and Loser's Bracket duels respectively to determine the 1st to 8th place for the round. \n<Assistant_Title2>Win/Loss Rules: </>The Club that reaches <Assistant_Red>3000 points</> first immediately locks in the victory; if no one reaches 3000 points when the match ends, the ranking is based on the current points. If points are tied, <Assistant_Property1>Total Kills</> and <Assistant_Property1>Total Club Beyonder Rating</> are compared in order. \n<Assistant_Title2>In-Match Points: </>The only source of in-match points is the Guardian ownership settlement. Occupying a Guardian for the first time grants <Assistant_Red>50 points</>; during the small settlement every <Assistant_Red>5 seconds</>, each occupied Guardian provides <Assistant_Red>1 point</>; during the large settlement every <Assistant_Red>30 seconds</>, each occupied Guardian provides <Assistant_Red>18 points</>. At the <Assistant_Red>4th, 8th, 12th, 16th, and 20th minutes</> of the match, a high-multiplier point settlement for Guardian ownership will randomly refresh, providing <Assistant_Red>72 or 108 points</> per occupied Guardian. \n<Assistant_Title2>Strategic Server Screening Points: </>In the first two rounds of the league during the <Assistant_Property1>Strategic Server Screening Phase</>, the Strategic Server Screening Point rules will be enabled. Only Clubs in the <Assistant_Property1>Mythical Group</> can obtain Strategic Server Screening Points. 1st to 4th place in a single match receive <Assistant_Red>30, 15, 10, 5 points</> respectively; 1st to 4th place in the first round receive <Assistant_Red>60, 50, 45, 40 points</> respectively, and 5th to 8th place receive <Assistant_Red>10 points</> each; 1st to 4th place in the second round receive <Assistant_Red>200, 100, 70, 50 points</> respectively, and 5th to 8th place receive <Assistant_Red>15 points</> each. After the first two rounds of the league in the Strategic Server Screening Phase, the top 4 Clubs in the Strategic Server Screening total points in this division will advance to the <Assistant_Property1>Four-Way League Apocalypse Group</> and obtain the qualification to <Assistant_Property1>participate in the Strategic Server</>. \n<Assistant_Title2>Tie-breaking: </>Strategic Server Screening rankings are prioritized by <Assistant_Property1>Strategic Server Screening Total Points</> from high to low. When total points are tied: After the first or second round of the league, sorting is based on the Club's <Assistant_Property1>Final Ranking</> in this round, with higher rankings taking precedence; after the first match of each round of the Four-Way League, the final ranking for this round has not yet been generated, so tied Clubs are not distinguished by ranking, and the current display order does not represent the final ranking of this round. \n<Assistant_Title2>Guardian Contention: </>There are <Assistant_Red>5 Guardians</> on the battlefield. The Club that lands the last hit on a Guardian gains control of it; after ownership is established, the Guardian will immediately respawn and belong to that side. Guardians cannot be healed, but will slowly recover Health automatically when there are no enemies nearby. \n<Assistant_Title2>Resources and Command: </>Defeating enemy players or occupying Guardians grants resource points and automatically accumulates Morale level. The President, Vice President, and Councilors can consume resource points to release Command Skills. \n<Assistant_Title2>Command Skills: </><Assistant_Property1>Declaration of Defeating the Enemy</> consumes 1000 resource points, increasing the Suppression of all Pathways for all members by 15% for 20 seconds, with a 180-second cooldown; <Assistant_Property1>Forced March</> consumes 600 resource points, increasing the movement speed of all members by 60% for 10 seconds, with a 120-second cooldown; <Assistant_Property1>Zero-Order Decree</> consumes 1500 resource points, clearing the current resurrection wait for all members and covering members who fall in battle within the next 5 seconds, with a 240-second cooldown; <Assistant_Property1>Summon Teleport</> consumes 2400 resource points, summoning all members to the designated assembly point, with a 240-second cooldown; <Assistant_Property1>Sanctuary Protection</> consumes 1000 resource points, restoring 50% of the maximum Health of all your Guardians, with a 180-second cooldown. \n<Assistant_Title2>Participation Method: </>{JumpToUI:[Go to Four-Way League]|1250063}
区	District
因为我已经……不是我了……再帮我一次……	Because I am... no longer me... help me one more time...
我没事，还好有阿兹克先生的指引。	I'm fine, fortunately I had Mr. Azik's guidance.
20秒	20 seconds
好痛啊，之前的伤没好，腿又抽筋了！	It hurts so much, the previous injury hasn't healed, and now my leg is cramping!
沉浸模式	Immersive Mode
艹	Damn.
19:00开始	Starts at 19:00
参演人	Performer
嘿，这是偷袭！ 	Hey, that's a sneak attack!
有真东西	There's real stuff.
请问请问请我欸经哦i	Please, please, please...
上麦顺序	Order of taking the mic
能不能串点有新意的	Can you skewer something with some novelty?
艾因哈特-3	Einhart-3
<P_Heart>（又是……那些声音……）</>	<P_Heart>(Those... voices... again...)</>
词条置换	Entry replacement
俱乐部联赛分组 甲组	Club League Group A
好哥哥别打我	Good brother, don't hit me.
当前外观资源未下载，是否下载该资源？	The current appearance resource has not been downloaded. Would you like to download it?
沈知微  —  Lv 62 | Spectator | 20 m | Inspect	Shen Zhiwei — Lv 62 | Spectator | 20 m | Inspect
来啊啊	Come on, ah!
偷袭你	Sneak attack you
成员扮演	Member Acting
其他誓约玩家名	Other Covenant Player Name
秘偶名字秘偶名字	Marionette Name Marionette Name
穿戴对比	Wear Comparison
奖励：	Reward:
机制提机制提机制提机制提	Mechanism Mechanism Mechanism Mechanism
购买<HighLight_Yellow>任意礼包</>亦可领取首充赠礼	Purchase <HighLight_Yellow>any gift pack</> to also claim the first-purchase gift
点击修改次序，建队后可再调整	Click to modify the order; you can adjust it again after forming the team
盥洗室？没有回到老维克多那里？	Washroom? Didn't go back to old Victor's place?
【@风筱吟】还真是，窥密之眼换折射还掉了几百	【@Feng Xiao Yin】It really is, swapped Eye of Mystery for Refraction and still dropped a few hundred
原地站立	Stand Still
旗帜已转移至分线2，点击右下角切换分线	Flag has been transferred to sub-line 2, click the bottom right to Switch sub-lines
艾因哈特-1	Einhart-1
超级箭塔	Super Arrow Tower
以下数据将影响双方交易	The following data will affect the transaction between both parties
文字基础描述 999\r\n文字基础描述，如攻击力提高，非凡者基础伤害提高等等。文字基础描述，如攻击力提高，非凡者基础伤害提高等等。文字基础描述，如攻击力提高，非凡者基础伤	Basic text description 999\r\nBasic text description, such as Damage Increased, Beyonder base damage increased, etc. Basic text description, such as Damage Increased, Beyonder base damage increased, etc. Basic text description, such as Damage Increased, Beyonder base dam
最终伤害增加	Final Damage Increase
下一个隐藏空间的位置是……	The location of the next hidden space is...
再次挑战先祖铠甲的奖赏，可获得对应的装备、非凡物质、秘偶碎片奖励。	Rewards for challenging Ancestor Armor again; you can obtain corresponding Equipment, Beyonder material, and marionette fragment rewards.
故事的起点最多十个字	Story Start (Max 10 chars)
预计等待:	Estimated wait:
又是我嘻嘻	It's me again, hee hee.
周围有危险，周围有危险……	Danger nearby, danger nearby...
家族个人宣言家族个人宣言家族个人宣言家族个人宣言家族个人宣言家族个人宣言家族个人家族个人宣言家族个人宣言家族个人	Family personal declaration family personal declaration family personal declaration family personal declaration family personal declaration family personal declaration family personal family personal declaration family personal declaration family personal
<P_Heart>（压低声音）</>我带您看看真货？	<P_Heart>(lowering his voice)</> Shall I show you the real thing?
会计太太在哪里？罗珊也不在……	Where is Mrs. Accountant? Rozanne isn't here either...
第二赛季名称	Season 2 Name
车辆等级：一级车	Vehicle Level: Level 1 Vehicle
我带错东西了	I brought the wrong thing.
老鼠又来了！快在植物附近击杀	The rats are back! Quickly, hunt them near the plants.
已放置	Placed
有找到对应的文献吗？	Did you find the relevant sources?
未成功完成ci流程	CI process not completed successfully
鼠标常驻:	Mouse Always On:
外观套装	Appearance Set
根据谜题，前往正确植物吧	According to the puzzle, go to the correct plant.
活动描述活动描述活动描述，活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述活动描述	Activity description activity description activity description, activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description activity description
<Name>评论玩家二</>：这啥呀这是	<Name>Commenter two</>: What is this
让我看看是什么在作怪……	Let me see what is causing this...
我的最高贡献值：1200	My Highest Contribution: 1200
没有可选择的宣战时间	No selectable declaration of war time
活动名称七个字一二三	Activity Name (7 characters) 123
这个世界不缺种地的人	This world is not short of people who farm.
艾因哈特  —  Lv 62 | Apprentice | 5 m | Inspect	Einhart — Lv 62 | Apprentice | 5 m | Inspect
为什么不中文	Why not Chinese
第三阶段	Phase 3
名字四字字	Four Character Name
家族名称<NumDays>N</>天可修改一次	Family name can be changed once every <NumDays>N</> days
我去中心舞阵跳舞	I'm going to the central dance formation to dance.
我来打你吧	Let me hit you.
让敌人恐惧的不只是你的剑，更是你如山岳般不可撼动的存在感。	What makes the enemy fear you is not just your sword, but your presence, which is as immovable as a mountain.
该角色等级超过15级，删除后将有<DeleteTime>7</>日的追回期？	This character is above level 15. Are you sure you want to delete it? There will be a <DeleteTime>7</> day recovery period.
防御等级100<UpgradeNum>（+200）</>，受到伤害有额外的概率提升防御<UpgradeNum>(+200）</>，持续7秒，受到伤害有额外的概率提升防御	Defense Level 100<UpgradeNum> (+200)</>, taking damage has an additional chance to increase defense<UpgradeNum> (+200)</>, continuous for 7 seconds, taking damage has an additional chance to increase defense
你们几个，又在打架！	You lot, fighting again!
前往其他站点	Go to other stations
感谢您的帮助，我和罗珊他们才能安全汇合。	Thank you for your help; only then could Rozanne and the others reunite safely.
缘起趁早散了吧，不敢打，丢人	Yuanqi should disband early, don't dare to fight, embarrassing.
50毫升	50 ml
脆脆的，你的纸人没用哦	Crispy, your paper doll is useless.
虚维 has bid	Xu Wei has bid
<Default_L>剩余时间</>\r\n<Brown_L>00</>小时<Brown_L>00</>分钟	<Default_L>Remaining Time</>\r\n<Brown_L>00</> hours <Brown_L>00</> minutes
你开始叫	You started screaming
嗯呢，就是那个小金人	Yeah, that little golden man.
城堡来t	Need a tank for the Castle.
正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符正文最多98字符<HighLight>最多170</>	Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters Body text max 98 characters <HighLight>max 170</>
Selected: 六月之书	Selected: Book of June
本日剩余占卜次数 12次	Remaining divination attempts today: 12
3胜2负	3 wins 2 losses
这次是三颗真的子弹，和一颗假的子弹。	This time there are three real bullets and one fake bullet.
酒鬼不喝...	The drunkard doesn't drink...
嘻嘻	Hee hee.
感谢您的帮助，求您一定要找到卡尔。	Thank you for your help. Please, you must find Karl.
你打团再带纸人	You're still bringing paper dolls to team fights
实时截图	Real-time screenshot
状态文本	Status Text
2组	2 groups
……也不是不行。	...That could work.
会员:150/150	Members: 150/150
全部选中七八个	Select All Seven or Eight
方案名字七个字	Plan name seven chars
沈知微  —  Lv 62 | Spectator | 23 m | Inspect	Shen Zhiwei — Lv 62 | Spectator | 23 m | Inspect
生长，生长，回归“母亲”的怀抱！	Grow, grow, return to the embrace of the 'Mother'!
关税设置	Tariff Settings
有心搬诗诗不成，无心当串串成典<img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/>	Trying to move poetry but failing, accidentally becoming a classic <img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/><img id="#061" width="28" height="28" valign="0.5"/>
来呗<img id="#032" width="28" height="28" valign="0.5"/>	Come on then <img id="#032" width="28" height="28" valign="0.5"/>
神的语言，你们也配听	The language of God, you are not worthy to hear it.
精炼79%	Refined 79%
这需要它<P_Yellow>吃掉</>……相当于十倍自身体重的食物！	It needs to <P_Yellow>eat</>... ten times its own body weight in food!
之前汤姆为了躲他老婆，进门的时候被门的木刺刮烂了胳膊！	Before, Tom was scratched on his arm by the wooden thorns of the door when he entered to hide from his wife!
我终于有救啦！这次旅行没有白来！	I'm finally saved! This trip wasn't in vain!
这把枪，射击范围更大，应该能更快地解决污染怪物。时间不多了……还没找到罗珊……	This gun has a larger shooting range and should be able to deal with corrupted monsters faster. There isn't much time left... I still haven't found Rozanne...
桃花运	Romance Luck
不可打听，不可外传，不可打听，不可外传	Do not inquire, do not spread; do not inquire, do not spread
