CN	EN
弗罗拉·	Flora 
弗雷德	Fred
弱点	Weakness
强健	Robust
强尼	Johnny
归还物品	Return item
当Pos=\"tar\"时生效，当目标近于此距离时，放在目标Root点，当目标远于此距离时，放在自身到目标连线方向上此距离位置。此处距离不包含碰撞半径，且按XOY平面投影距离算，最终点位会贴地处理。	Effective when Pos=\"tar\". If the target is closer than this distance, it is placed at the target's root; if further, it is placed at this distance along the line connecting the self to the target. This distance excludes the collision radius and is calculated based on XOY plane projection; the final position will be snapped to the ground.
当前	Current
当前暂无内容	No content currently
当前阶段：	Current Stage:
当然可以。	Of course.
形态切换	Stance Switch
形象	Appearance
彦	Yan
彩虹屁	Rainbow
彭尼	Penny
影子	Shadow
征服	Conquest
很乐意为您效劳。	Happy to be of service.
很美妙的气息 不是吗	A wonderful scent, isn't it?
徘徊困境	Wandering Dilemma
德行	Virtue
德里克	Derrick
心愉	Xinyu
心桐	Xintong
心洋	Xinyang
心浩	Xinhao
心灵之声	Voice of the Heart
心灵读取	Mind Reading
心甜	Xintian
心皓	Xinhao
心童	Xintong
心缘	Xinyuan
心羽	Xinyu
心语	Xinyu
心豪	Xinhao
心轩	Xinxuan
心辰	Xinchen
心锚	Mental Anchor
心雨	Xinyu
心颖	Xinying
心馨	Xinxin
必再流浪、不必再挨饿、不必再被买卖……	No more wandering, no more starving, no more being bought and sold...
忆	Yi
忆思	Yisi
忆晨	Yichen
忆晴	Yiqing
忆柳	Yiliu
忆诗	Yishi
忆雪	Yixue
快跑！	Run!
快速到达	Fast Travel
念信	Read the letter
念诵	Chant
忻	Xin
忻语	Xinyu
怎么了吗？	What's wrong?
怎么了？	What's wrong?
怎么办呢	What should I do?
怎么更换教团	How to change Orders
怎么样？	How is it?
怒吼	Roar
怡	Yi
怡君	Yijun
怡嘉	Yijia
怡墨	Yimo
怡宁	Yining
怡心	Yixin
怡思	Yisi
怡星	Yixing
怡晨	Yichen
怡晴	Yiqing
怡月	Yiyue
怡梓	Yizi
怡欣	Yixin
怡然	Yiran
怡瑶	Yiyao
怡皓	Yihao
怡翰	Yihan
怡茹	Yiru
怡薇	Yiwei
怡诗	Yishi
怡豪	Yihao
怡轩	Yixuan
怡雪	Yixue
急行	Dash
性能	Performance
怪	Monster
怪2	Monster 2
怪猎	Monster Hunter
总有些事情，高于其他。	There are always some things that are higher than others.
总热度值	Total Popularity
总计	Total
总额：	Total:
悠	You
您	You
您……	You...
您不害怕吗？	Aren't you afraid?
您在干什么？	What are you doing?
您在等人吗？	Are you waiting for someone?
您在这里干什么？	What are you doing here?
您好 罗珊小姐	Hello, Miss Rozanne.
您好 请问您是……	Hello, may I ask who you are...
您好。	Hello.
您好，“魔术师”女士！	Hello, Ms. Magician!
您已退出战队	You have left the team.
您是灰雾之上的神秘主宰	You are the mysterious ruler above the gray fog
您是说……	You mean...
您是？	Who are you?
您觉得怎么样？	What do you think?
您说得对	You're right
惊叫	Scream
想买什么花呢？	What kind of flowers do you want to buy?
想了解什么？	What would you like to know?
想想办法	Think of a way
想来点什么？	What would you like?
想要些什么？	What would you like?
愉	Yu
愚者的祝福	Fool's Blessing
愚者馈赠	The Fool's Gift
感觉好些了吗？	Are you feeling any better?
感谢你，朋友！为我收集了所有的音符。	Thank you, friend! You've collected all the musical notes for me.
感谢您。	Thank you.
感谢您的提醒。	Thank you for the reminder.
愿黑夜庇护你。	May the Evernight Goddess guard you.
慈悲的女神啊！昨晚试喝了新药，妈妈看起来已经有好转了……	Merciful Goddess! After trying the new medicine last night, Mother seems to have improved...
慈悲的女神！求您……求您为我降临神迹，宽恕我的无知之罪！	Merciful Goddess! I beg you... I beg you to perform a miracle for me and forgive my sin of ignorance!
慧	Hui
慷慨的	Generous
懿	Yi
懿璇	Yixuan
懿轩	Yixuan
戏法献演	Trick Performance
成功创建分组	Group created successfully.
成功！	Success!
成员	Member
成员人数	Member Count
成员数量	Member Count
成组	Group
我 明白了	I understand.
我......我会去尝试的！谢谢你！	I... I will try! Thank you!
我......我实在不知道自己能做什么。	I... I really don't know what I can do.
我不会举报你	I won't report you
我不相信	I don't believe it
我了解你们的难处，只是.....	I understand your difficulties, it's just...
我们去看看吧。	Let's go take a look.
我们走吧 还得下几层楼梯	Let's go, we still have to go down a few flights of stairs.
我们走吧。	Let's go.
我们还会见面的	We will meet again.
我听说……	I heard...
我听说的好像也是这个版本......	That seems to be the version I heard as well...
我好精神挺状态的呀。	My mental state is quite good.
我帮你	I'll help you
我怎么会想杀他？不、不对......	How could I want to kill him? No, that's not right...
我怎么动不了了？	Why can't I move?
我想……	I think...
我拥有	Owned
我明白。	I understand.
我明白了……	I understand...
我明白了。	I understand.
我是罗珊 以后我们就是同事了！	I am Rozanne, we will be colleagues from now on!
我有个大胆的想法。	I have a bold idea.
我看看……	Let me see...
我知道了	I understand
我知道了。	I understand.
我神精状态好挺的呀。	My mental state is quite good.
我精神状态挺好的。	My mental state is quite good.
我要买车票	I want to buy a ticket
我要怎么做？	What should I do?
我该怎么做？	What should I do?
战场指引者	Battlefield Guide
战斗力	Combat Power
战斗场地	Battlefield
战斗能力	Combat ability
战略	Strategy
战队	Squad
戳刺	Stab
戴利	Daly
戴文	Devin
戴莉你……	Daly, you...
戴里克·伯格	Derrick Berg
房主	Host
房门	Door
房间创建成功	Room created successfully.
房间已不存在。	The room no longer exists.
所在市	City
所有	All
所有人	Everyone
所有伙伴的数量+7	All partner quantities +7
扇风	Fan
手动	Manual
手动中	Manual
手推车	Push Cart
手链	Bracelet
手镯	Bracelet
扑咬	Bite
打	Hit
打仗？	War?
打光	Lighting
打开	Open
打开中	Opening...
打开书本	Open the book
打开房门	Open Door
打开的	Opened
打开真正的宝箱，离开空间	Open the real treasure chest and leave the space
打开纸条······	Opening the note...
打开纸条……	Opening the note...
打开账单吧。上面记录了每个工人的欠账清单。洛克用这些账单，把他们绑在这里。	Open the bill. It records the debt list of every worker. Rock uses these bills to tie them here.
打招呼伦纳德	Greet Leonard
打招呼罗珊	Greet Rozanne
托妮	Tony
扫墓人	Gravedigger
扮演中	Acting
扮演的	Acting
扳机点	Trigger point
找个地方休息一下	Find a place to rest
找到声音的来源	Find the source of the sound
找到琳达	Find Linda
找到贝克	Find Baker
找到道格的墓碑	Find Doug's tombstone
找队	Find Team
承伤总量	Total Damage Taken
承宇	Chengyu
技能槽位id	Skill slot ID.
抄	Copy
抓住	Grab
投喂	Feed
投诉	Report
投资者	Investor
折扣	Discount
抠门老板去哪儿啦?	Where did the stingy boss go?
护身符	Amulet
报名进行中	Registration in progress
报幕	Curtain Call
抱歉 撞到你了吗？	Sorry, did I bump into you?
抱歉。	I'm sorry.
抵挡	Block
拆信	Open letter
拉尔夫	Ralph
拉黑	Block
拍卖会	Auction
拍照	Take Photo
拐杖	Cane
拜访	Visit
拥有	Owned
拥有：%d	Owned: %d
拯救	Rescue
拳击场	Boxing Ring
拳套	Gauntlets
拾取中……	Picking Up...
拾起	Pick Up
拿起	Pick Up
持续时间（秒）	Duration (seconds).
挂件	Pendant
指引1	Guide 1
指引2	Guide 2
指引3	Guide 3
指引5	Guidance 5
指引箭头	Guidance Arrow
指环	Ring
挖掘	Dig
挥砍	Slash
捕猎	Hunt
捡起	Pick Up
捡起……	Pick up...
捡起纸片	Pick Up Paper
捡起霰弹枪	Pick Up Shotgun
换一批	Refresh
换一换	Refresh
换位置	Change Position
据点1	Stronghold 1
据点2	Stronghold 2
据点3	Stronghold 3
据点4	Stronghold 4
掀开	Lift
排名%s	Rank %s
排行	Ranking
探头看看	Lean in to look
探索	Exploration
接待员	Receptionist
接过	Take
推销员	Salesperson
掸灰尘	Dust Off
提交	Submit
提交道具	Submit item
提出帮忙	Offer help
揭示	Reveal
搜索	Search
搜索中……	Searching...
搬	Move
摆摊	Stall
摔倒	Fall
摸摸它	Touch it
撕动	Tear
撞击	Impact
撤回	Withdraw
播放CS	Play CS
播放Dialogue	Play Dialogue
播放cutscene	Play Cutscene
播放dialogue	Play dialogue
播放剧情动画	Play Cutscene
播放动画	Play Animation
播放对话	Play Dialogue
播放过场动画	Play Cutscene
撼地	Earthquake
操作台	Console
操作太频繁了	Operation too frequent.
操作太频繁，请稍后再试。	Operation too frequent; please try again later.
操作太频繁，请稍后重试	Operation too frequent; please try again later.
操作失败。	Operation failed.
操作过于频繁。	Operation too frequent.
擦拭	Wipe
支付	Pay
支援	Support
支线任务	Side Quest
收下	Accept
收到	Received
收听	Listen
收回	Retrieve
收藏品	Collection
收起	Collapse
改装	Modify
攻击力提升	Attack Power Increase
攻城载具	Siege Vehicle
攻略	Guide
放开她，兰斯特。	Let her go, Lanster.
放心交给我吧	Leave it to me
放置	Place
放置中……	Placing...
放钱	Put down money
故乡	Hometown
故事不要停【流程版】	Don't Stop the Story [Flow Version]
故事事件	Story Event
敌	Enemy
敌人	Enemy
救助	Rescue
救命	Help
救命啊！	Help!
救我！救我！	Save me! Save me!
教团怎么加入	How to join an Order
教堂	Church
教堂执事	Church Deacon
数量：	Quantity:
整理证据	Organizing evidence.
文本	Text
文森特	Vincent
斗邪恶吗？二缺一	Fighting evil? We're one short.
斧骑士	Axe Knight
斯坦尼	Stanny
斯宾那奇	Spinachi
斯普灵	Spring
斯洛	Slow
斯科特	Scott
斯考特	Scott
斯蒂芬妮·	Stephanie 
斯黛拉	Stella
新乡	Xinxiang
新余	Xinyu
新增功能	New Feature
新娘	Bride
新郎	Groom
新雨	Xinyu
新颖	Novel
施放指定技能  	Cast specified skill
旁听	Listen in
旁听一下	Eavesdrop
旁观	Observe
旁观者	Spectator
旅客	Traveler
旅者	Traveler
旅馆老板	Innkeeper
旋转	Rotate
无尽的誓约	Endless Covenant
无情裁决II	Ruthless Judgment II
无情裁决III	Ruthless Judgment III
无情裁决IV	Ruthless Judgment IV
无法选中	Untargetable
无视	Ignore
无限暖暖	Infinity Nikki
无面之人	Faceless
日	Day
时	Hour
时代主角	Protagonist of the Era
时刻	Time
时装秀比赛	Fashion Show Competition
旺斯	Vance
明亮的	Bright
明度	Brightness
易	Yi
星之匙	Key of Stars
春夜舞会获取	Obtained from Spring Night Ball
春天	Spring
是	Yes
是。	Yes.
是什么？	What is it?
是吗……	Is that so...
是吗？	Is that so?
是否检查buff来源	Check Buff Source
是否跳过本剧情？	Skip this scene?
是的！	Yes!
是谁？	Who is it?
昼	Day
显示武器	Show Weapon
显示详情信息	Show detailed information
晋升序列7	Advance to Sequence 7
晋升成功	Advancement successful
晋升至序列九	Advance to Sequence 9
晨	Dawn
普莱	Play
普莱斯	Price
普赖斯	Price
普通待机	Idle
普里西拉·	Priscilla 
景深模糊	Depth of Field
智慧	Wisdom
智者	Sage
暂代传送点	Temporary Teleport Point
暂停中	Paused
暂无	None
暂无出价	No bids yet
暂无可邀约的好友	No friends available to invite
暂无可邀请的好友	No friends available to invite
暂未开放	Not yet open
暴君	Tyrant
暴徒	Thug
暴毙	Sudden death
更换	Change
曼尼	Manny
最后镜头	Final shot
最终审判	Final Judgment
最近刚调了一批安神的香，您要试试吗？	I just got a batch of incense for calming the mind; would you like to try it?
最近的事件	Recent events
最高伤害	Highest Damage
月亮	Moon
月亮花	Moon Flower
有人正在争吵	Someone is arguing
有人看到了不该看的东西	Someone saw something they shouldn't have.
有什么好处吗？	What's the benefit?
有关黑荆棘	About Blackthorn
有危险	Dangerous
有推荐吗	Any recommendations?
朋友	Friend
服务生	Waiter
朝向	Orientation
期待我们的再会。	Looking forward to our next meeting.
未公开	Private
未完成	Incomplete
未激活	Inactive
未生效	Inactive
未知	Unknown
未知的声音	Unknown voice
未解锁	Locked
本地	Local
本局对手	Opponent
本服排名	Server Ranking
朱利亚	Julia
朱利安	Julian
朱莉	Julie
朱莉 	Julie
朱莉娅	Julia
朱莉娅·	Julia 
机器	Machine
杀手	Killer
条件组内条件需要同时满足	Conditions within the group must be met simultaneously
条带	Strip
来了啊。	You're here.
来到查尼斯门	Arrive at Chanis Gate
来吧 休息吧 安眠吧	Come, rest, slumber
来谈一谈恋爱吧！	Let's fall in love!
杰尼	Jenny
杰弗里	Jeffrey
杰拉德	Gerald
杰玛·	Gemma 
杰瑞 	Jerry
杰里	Jerry
杰里米	Jeremy
松开手指，取消发送	Release finger to cancel sending
极佳	Excellent
极光会纹章	Aurora Order Emblem
枫	Feng
枯萎	Wither
柏宇	Boyu
柏宜斯	Boyce
柏莎	Bertha
查兹	Chaz
查尔斯	Charles
查希尔·	Zahir 
查看战队	View Team
查看纸条	Check the note
查看通告	Check the notice
查看通知	Check the notice
查莉·	Charlie 
查询队伍成员奖励进度	Check team member reward progress
查阅	Read
查雅·	Chaya 
柯尔克	Kirk
柯尼	Connie
栅栏	Fence
标记	Mark
格蕾丝	Grace
格雷塔	Greta
桃乐斯·	Dorothy 
桃心	Heart
框架	Frame
桌子上的纸页	Paper on the table
桐语	Tongyu
梅因	Main
梅拉尼·	Melanie 
梅高欧斯	Megose
梓	Zi
梓元	Ziyuan
梓含	Zihan
梓墨	Zimo
梓宇	Ziyu
梓怡	Ziyi
梓恒	Ziheng
梓晴	Ziqing
梓月	Ziyue
梓欣	Zixin
梓言	Ziyan
梓铭	Ziming
梦境	Dream
梳理	Comb
检查	Check
检查<h>施佩尔</>的状态	Check <h>Spear's</> condition
检查<h>邮筒</>	Check the <h>mailbox</>
检查尸体	Examine the corpse
检查纸条	Check the note
检视	Inspect
棋子	Piece
森特	Sent
楷	Kai
槽位1	Slot 1
槽位2	Slot 2
槽位6	Slot 6
模特	Model
樱	Ying
樱雪	Yingxue
橘子	Orange
橙	Orange
橙色	Orange
橱柜	Cabinet
欢喜	Joy
欢迎来到我的世界，征服者。	Welcome to my world, Conqueror.
欢迎来到波拿巴餐厅！	Welcome to Bonaparte Restaurant!
欣	Xin
欣仪	Xinyi
欣元	Xinyuan
欣妍	Xinyan
欣宇	Xinyu
欣宜	Xinyi
欣星	Xinxing
欣晨	Xinchen
欣晴	Xinqing
欣月	Xinyue
欣柳	Xinliu
欣梓	Xinzi
欣玉	Xinyu
欣瑶	Xinyao
欣睿	Xinrui
欣言	Xinyan
欣语	Xinyu
欣颖	Xinying
欲望母神	Mother Goddess of Depravity
歆	Xin
歆元	Xinyuan
歌颂者	Bard
正义女士	Miss Justice
正义牌	Justice
正在使用……	Using...
正在品尝……	Tasting...
正在寻找……	Searching...
正在拾取……	Picking up...
正常	Normal
正式	Official
正直的	Upright
武勋值	Military Merit
死亡宣言	Death Declaration
死亡表现	Death Performance
死神殿	River Styx Temple
死神牌	Death
死而复生	Resurrection
死！	Die!
段位	Rank
段位胜点	Rank Points
段位（本职业）	Rank (Current Profession)
殿堂	Hall
毁坏	Destroy
母	Mother
每一段旅行都有终点。	Every journey has an end.
每年的今天 我们都要一起过生日 	Every year on this day, we will celebrate our birthdays together.
毒液喷射	Venom Spray
比	Compare
比特	Beat
比赛报名中	Registration in progress
毛发尾部	Hair Tip
毛发根部	Hair Root
毛茸真谛	The Essence of Fluffiness
氪	Pay-to-win
水壶	Kettle
永夜君王	Evernight Goddess
求助	Help
求援	Call for Help
求救！	Help!
汉姆	Ham
汉特	Hunter
污染区域	Polluted Area
污水阀	Sewage Valve
污秽	Filth
汤森	Townsend
汤米尼克	Dominic
汪呜……	Woof...
汪汪汪！	Woof woof woof!
汪！	Woof!
汪！汪！	Woof! Woof!
沃尔	Wall
沉眠	Slumber
没什么兴趣	Not interested
没兴趣	Not interested
没意思	Boring
没有	None
没有兴趣	Not interested
没问题，包在我身上。	No problem, leave it to me.
沮丧	Frustrated
治疗总量	Total Healing
法力上限	Max Mana
注视	Gaze
泰州	Taizhou
洞察之瞳	Eye of Insight
洞悉	Insight
活动	Event
派克	Parker
派克特	Parker
流星坠落II	Meteor Fall II
流星坠落III	Meteor Fall III
流星坠落IV	Meteor Fall IV
流星坠落V	Meteor Fall V
流氓	Rogue
流浪者	Wanderer
流苏	Tassel
测一测2	Test 2
测测2	Test 2
测试	Test
测试一	Test 1
测试三	Test 3
测试二	Test 2
测试称谓	Test Title
浓密	Density
浓密度	Density
浓淡	Opacity
浴火的吞尾蛇	Ouroboros in Flames
海因斯	Haines
海恩斯	Haines
海精灵-青静态	Sea Spirit - Blue Static
海纳斯.凡森特	Haines Vincent
海纳斯的梦境	Hynes's Dream
消耗	Cost
涵	Han
涵墨	Hanmo
涵宇	Hanyu
涵月	Hanyue
涵柳	Hanliu
涵语	Hanyu
涵雪	Hanxue
淄博	Zibo
淘汰赛	Tournament
淡雅的	Elegant
深浅度	Depth
淳	Chun
混沌	Chaos
混混	Thug
添加好友	Add Friend
清丽的	Beautiful
清扬	Qingyang
清空	Clear
清空消息	Clear Messages
清远	Qingyuan
清除	Clear
渎神者	The Blasphemer
温和的	Gentle
温妮	Winnie
温特	Winter
温赖特	Wainwright
游历	Travel
游荡僵尸	Wandering Zombie
游荡者	Wanderer
湖泊	Lake
湖边	Lakeside
溃散	Collapse
源堡中分化出一小团灰雾笼罩着你，灰雾外的单位攻击内部目标会抵消100%伤害，内部的单位攻击外部目标也会抵消100%伤害。	A small cluster of gray fog from Sefirah Castle envelops you. Units outside the gray fog attacking targets inside will have 100% of their damage negated, and units inside attacking targets outside will also have 100% of their damage negated.
溪	Xi
溪边的	By the creek
滞涩	Stagnation
满级	Max Level
滴	Drop
漂亮的	Beautiful
演出	Performance
演员女	Actress
演员男	Actor
演唱家	Singer
演奏者	Musician
演讲	Speaker
漫步	Stroll
漫游星空的旅行者，黄黑之王的眷者，记录世界的法师。	Traveler of the starry sky, attendant of the King of Yellow and Black, mage who records the world.
漫行者	Wanderer
潇	Xiao
潇洒的	Dashing
潇语	Xiaoyu
潇雨	Xiaoyu
潘妮·	Penny 
潘娜洛普·	Penelope 
潜意识岛屿	Island of Consciousness
澄辉锦韵	Clear Brilliance Brocade Rhyme
火腿	Ham
火苗	Flame
火车	Train
灯光	Lighting
灰	Gray
灰色	Gray
灵体	Spirit Body
灵体之线玩法	Spirit Body Threads
灵体普通青年男人	Spirit Body Ordinary Young Man
灵摆逆时针转动，不是左面，看起来就在右面的桌子上了。	The pendulum rotates counter-clockwise, not on the left, it looks like it's on the table on the right.
灵界伙伴II	Spirit World Companion II
灵界伙伴III	Spirit World Companion III
灵界伙伴IV	Spirit World Companion IV
灵界伙伴V	Spirit World Companion V
灵线	Spirit Body Thread
灾变	Catastrophe
炉子	Stove
炉火	Fireplace
点击任意处继续	Click anywhere to continue
点击输入玩家名称	Click to enter player name
点赞	Like
点赞了你的作品	Liked your work
炼金术师	Alchemist
烂苹果	Rotten Apple
烈焰	Blaze
烛火2	Candlelight 2
烛火3	Candlelight 3
烧开水	Boil water
热	Hot
热更新	Hot Update
烹饪	Cook
烽	Feng
然	Ran
然后呢？	And then?
煜	Yu
燃烧瓶	Molotov Cocktail
燕	Yan
爆发	Burst
爆满	Full
爆炸性瞬间	Explosive Moment
爛	Rotten
爱	Love
爱国卫生运动	Patriotic Health Campaign
爱尔莎·	Elsa 
爱琳娜·	Elena 
爱琳诺·	Eleanor 
爱莉丝·	Alice 
爸爸妈妈，我想买一个冰淇淋吃，可以嘛？	Mom and Dad, I want to buy an ice cream, can I?
片	Piece
片刻后……	A moment later...
牌	Card
牧师	Priest
物品	Item
物品已售罄。	Item is sold out.
物品道具名字	Item Name
特么	Damn
特剪・剧中	Special Cut - In Play
特剪・毒藤	Special Cut - Poison Ivy
特剪・烈日	Special Cut - Blazing Sun
特瑞	Terry
特级油封鸭腿	Premium Duck Confit
特蕾茜	Trissy
特里	Terry
特里斯	Trissy
特雷弗	Trevor
特雷茜	Tracy
特雷莎·	Teresa 
狂怒震吼	Furious Roar
狄安娜	Diana
狮子座	Leo
狼人血脉II	Werewolf Bloodline II
狼人血脉III	Werewolf Bloodline III
狼人血脉IV	Werewolf Bloodline IV
狼人血脉V	Werewolf Bloodline V
猎杀	Hunt
猎魔者	Demon Hunter
猛冲	Dash
猫	Cat
猫猫	Cat
献花	Offer flowers
玉	Jade
玉林	Yulin
玉石	Jade
玉米薄饼夹猪颈肉	Corn Tortilla with Pork Neck
王者荣耀	Honor of Kings
玛丽莲	Marilyn
玛佩尔·	Mabel 
玛莉	Mary
玛莎	Martha
玛蒂尔达	Matilda
玛西·	Marcy 
玛里琳	Marilyn
玛雅	Maya
玩	Play
玩偶	Doll
玩具熊	Teddy Bear
玩家传送点位	Player Teleport Point
玩家名称	Player Name
玩家旁听	Player Eavesdropping
玩法类事件	Gameplay Event
玩闹的孩子	Playing children
玫瑰花	Rose
环	Ring
环形半径九宫格	Circular radius nine-grid
现在，它是你的了，愚者先生亲自为这件服饰赋予了神降的奇迹，好好珍藏它。	Now, it is yours. Mr. Fool personally bestowed the miracle of divine descent upon this garment. Treasure it well.
珀斯特	Post
珀莉	Polly
珀西	Percy
珂	Ke
珊	Shan
珊迪	Sandy
珍妮丝·	Janice 
珠片	Sequins
班尼迪克	Benedict
班纳	Banner
理事	Director
理查德	Richard
理解什么？	Understand what?
琳娜	Lina
琳娜·	Lina 
琼	Joan
琼安娜·	Joanna 
瑞恩	Ryan
瑞文	Raven
瑟琳娜	Selena
瑶	Yao
瓦特	Watt
瓦莱丽·	Valerie 
瓶子	Bottle
甜美	Sweet
生产	Production
生命恢复	Health Recovery
生机	Vitality
生活	Life
生活费	Living Expenses
用时	Duration
用灵视观察	Use spirit vision to observe
申请	Apply
申请加入团队	Apply to join team
申请的队伍已经解散	The applied team has disbanded.
男侍者	Waiter
男士	Man
男孩	Boy
男爵	Baron
男生	Male
男顾客	Male Customer
画画	Painting
画面质量	Graphics Quality
畅	Chang
畅销大作家	Bestselling Author
界面返回	Back
留言	Message
疯狂	Madness
疯狂的	Madness
登陆	Login
登高	Ascend
白	White
白银城	City of Silver
皇冠	Crown
皮肤	Skin
盈	Ying
监听服务器开服天数  	Listen for server launch days
监听界面关闭  	Listen for interface closure
监工	Foreman
盔甲	Armor
盖理	Gary
目光	Gaze
目标类型	Target Type
直到我念出了那个尊名——愚者先生的尊名。	Until I recited that honorific name—the honorific name of Mr. Fool.
看守者	Guardian
看报	Read newspaper
看板	Notice board
看看书中内容	Look at the contents of the book
看看公告	Check the announcement
看看发生了什么事	See what happened
看窗外	Look out the window
看门人	Gatekeeper
看门看守者	Gatekeeper
真困啊……	So sleepy...
真的吗？	Really?
真话	Truth
眨眼	Blink
眺望	Look into the distance
眼瞳	Iris
眼神	Gaze
睿知	Ruizhi
瞳孔	Pupil
瞳孔大小	Pupil size
知	Zhi
知宇	Zhiyu
知怡	Zhiyi
知浩	Zhihao
知涵	Zhihan
知羽	Zhiyu
知翰	Zhihan
知识的洗礼	Baptism of Knowledge
知识皇冠	Crown of Knowledge
知语	Zhiyu
知道了	Understood
知雨	Zhiyu
矮柜	Small Cabinet
石头	Stone
石柱子	Stone Pillar
砍杀	Slash
破布	Rag
破晓之时	Dawn
破晓号	Dawn
确认	Confirm
确认使用	Confirm Use
确认修改	Confirm Changes
确认置换	Confirm Replacement
确认退出	Confirm Exit
确认���盖	Confirm Overwrite
碎片1	Fragment 1
碰触	Touch
礼物	Gift
礼金类型	Gift Type
社交·行礼	Social: Salute
社交动作行为	Social Action
社交馈赠	Social Gift
社团	Club
祈求？愚者先生会帮助我打造它吗？	Pray? Will Mr. Fool help me craft it?
祝你成功吧	Good luck
祝贺！	Congratulations!
神	God
神像	Statue
神兵	Divine Weapon
神父	Priest
神秘的声音	Mysterious voice
神罚降临	Divine Punishment Descent
神降赠送	Divine Descent Gift
票据	Bill
禁言	Mute
禁锢	Imprisonment
福州	Fuzhou
禹	Yu
离开房屋	Leave the house
离线	Offline
秀丽的	Elegant
秋米尼克	Dominic
科恩黎	Cohen
科恩黎 值班辛苦了！	Kenley, thanks for your hard work on duty!
秘祈人	Seer
秩序之能	Power of Order
积分	Points
积极的	Active
移动	Move
移动速度增加	Movement speed increased
移除	Remove
稍等片刻	Wait a moment
稳重的	Steady
穷小孩	Poor Child
空想怪	Imaginary Monster
空步骤  	Empty step
空闲	Idle
空闲中	Idle
穿刺	Pierce
穿戴中	Equipped
突破	Ascend
窃取	Steal
窃听	Eavesdrop
窗帘	Curtain
窟窿	Hole
窥探隐秘者	Peering into Secrets
窥视	Peek
站起来	Stand up
竞价	Bid
竞拍	Auction
竞拍历史	Auction History
竞逐	Competition
童	Tong
童欣	Tongxin
童语	Tongyu
端庄的	Dignified
笑	Smile
笑宇	Xiaoyu
笑语	Xiaoyu
第%s轮	Round %s
第1天	Day 1
第3天	Day 3
第4天	Day 4
第5天	Day 5
第6天	Day 6
第7天	Day 7
第一关	Level 1
第一波浪潮	First Wave
第一节·占卜	Section 1 - Divination
第一节·天亮了	Section 1 - Dawn
第一节·小丑	Section 1 - Clown
第一赛季	Season 1
第二关	Level 2
笼	Cage
笼子	Cage
等	Wait
等一下下	Wait a moment
等待一会儿	Wait a moment
等级	Level
等级%s	Level %s
答辩	Shit
筛选	Filter
签到	Check-in
签字	Sign
简·	Jane 
简介	Introduction
简单镜头	Simple camera
简易	Simple
简约的	Simple
算了	Forget it
算了吧。	Forget it.
箱子	Box
篝火火堆	Bonfire
米娅	Mia
米顿	Milton
粉	Fan
粑	Shit
粗细	Thickness
精神刺穿	Mental Pierce
糟……了……	Oh... no...
索伦	Solomon
索菲娅	Sophia
紫色	Purple
紫色音符	Purple Note
紫藤花之廊	Wisteria Corridor
红祭司	Red Priest
红色	Red
红色的	Red
约万尼·	Giovanni 
约战	Duel
约瑟	Joseph
约瑟夫	Joseph
约翰尼	Johnny
级	Level
纯粹的	Pure
纸条	Note
纸条2	Note 2
纸条摄像机	Note Camera
纸条模型	Note Model
纸条采集物	Note Collectible
纽扣	Button
线下	Offline
组别	Group
组员	Member
织物	Fabric
终憾猎杀	End-of-Days Hunt
绒毛	Fur
绒绒兔耳朵	Fluffy Rabbit Ears
结交	Make Friends
结伴同行	Travel Together
结实的	Sturdy
结局	Ending
结束了吗？	Is it over?
结束了？	Is it over?
结果呢？	And then?
给我一个	Give me one
继续<h>往前</>	Continue <h>forward</>
继续向前	Continue forward
继续向前探索。	Continue to explore forward.
继续听	Continue listening
继续听<h>伦纳德</>讲述	Continue listening to <h>Leonard's</> story
继续听下去	Continue listening
继续复仇	Continue revenge
继续往前	Continue forward
继续搭话	Continue the conversation
继续聆听	Continue listening
继续质问	Continue questioning
绯红月色	Crimson Moonlight
绯红标记	Crimson Mark
绳索	Rope
维克托	Victor
维妮	Winnie
维拉·	Vera 
综合	General
绿	Green
绿子弹	Green Bullet
绿色	Green
绿色的	Green
绿色音符	Green Note
缇娅拉	Tiara
编辑	Edit
缥缈的	Ethereal
缩放	Scale
缩放比例	Scale
网易	NetEase
罗丝	Rose
罗伊德	Lloyd
罗伦·	Loren 
罗兰德	Roland
罗勒	Basil
罗杰特	Roger
罗琳	Lorraine
罗贝尔	Robert
置景	Set Scene
美丽	Beautiful
美丽的	Beautiful
美发	Hairstyle
美女与野兽	Beauty and the Beast
美好	Beautiful
美梦成真（上）	Dreams Come True (Part 1)
美梦成真（下）	Dreams Come True (Part 2)
美萱	Meixuan
美观度	Aesthetics
群	Group
群体	Group
羽	Yu
羽嘉	Yujia
羽墨	Yumo
羽宸	Yuchen
羽思	Yusi
羽星	Yuxing
羽晨	Yuchen
羽晴	Yuqing
羽欣	Yuxin
羽涵	Yuhan
羽琪	Yuqi
羽豪	Yu Hao
羽霏	Yu Fei
翊轩	Yi Xuan
翘度	Curvature
翰	Han
翰语	Han Yu
翻开	Open
翻找	Search
翻边	Hem
翻阅中……	Browsing...
翻阅书本……	Flipping through the book...
翼	Yi
翼欣	Yi Xin
老兵	Veteran
老头	Old Man
老尼尔	Old Neil
老旧的帽子	Old Hat
老爷车喇叭	Old Car Horn
老绅士	Old gentleman
考利	Colley
考尔	Cole
